Atoll,Country,Group,Lat,Lon,Plot_X,Plot_Y
Abaiang,Kiribati,Gilbert Islands,1.8569,172.9472,46.4,57.8
Abemama,Kiribati,Gilbert Islands,0.3927,173.8657,47.8,55.6
Ahe,French Polynesia,Tuamotu Archipelago,-14.4784,-146.3037,79.8,28.0
Ahnd,Federated States of Micronesia,Caroline Islands,6.7768,157.9598,25.0,60.0
Ahunui,French Polynesia,Tuamotu Archipelago,-19.6342,-140.4093,86.9,21.8
Ailinginae,Marshall Islands,Ralik Chain,11.1429,166.4339,31.9,86.3
Ailinglaplap,Marshall Islands,Ralik Chain,7.3947,168.7634,36.5,78.8
Ailuk,Marshall Islands,Ratak Chain,10.3134,169.9373,38.9,84.6
Akiaki,French Polynesia,Tuamotu Archipelago,-18.55,-139.22,88.3,23.1
Amanu,French Polynesia,Tuamotu Archipelago,-17.8076,-140.7621,86.5,24.0
Anaa,French Polynesia,Tuamotu Archipelago,-17.4134,-145.4918,80.8,24.5
Anuanuraro,French Polynesia,Tuamotu Archipelago,-20.436,-143.5355,83.2,20.9
Anuanurunga,French Polynesia,Tuamotu Archipelago,-20.6135,-143.287,83.5,20.7
Apataki,French Polynesia,Tuamotu Archipelago,-15.4527,-146.3248,79.8,26.9
Aranuka,Kiribati,Gilbert Islands,0.1659,173.6088,47.4,55.2
Aratika,French Polynesia,Tuamotu Archipelago,-15.5392,-145.5294,80.8,26.8
Arno,Marshall Islands,Ratak Chain,7.0611,171.6631,42.3,78.1
Arorae,Kiribati,Gilbert Islands,-2.64,176.83,52.2,51.0
Arutua,French Polynesia,Tuamotu Archipelago,-15.3217,-146.742,79.3,27.0
Asia,Indonesia,Raja Ampat Archipelago,1.0396,131.2509,2.0,60.0
Atafu,Tokelau,Tokelau Islands,-8.5602,-172.4929,54.0,38.0
Aua,Papua New Guinea,Bismarck Archipelago,-1.463333,143.060833,10.0,52.0
Aur,Marshall Islands,Ratak Chain,8.2557,171.0935,41.2,80.5
Awin,Papua New Guinea,Bismarck Archipelago,-1.6475,144.029722,11.5,51.5
Baker,United States,Isolated Central Pacific,0.195,-176.479,48.0,92.0
Bat,Papua New Guinea,Bismarck Archipelago,-2.841667,146.235556,15.0,49.0
Bellona,New Caledonia,Chesterfield Islands,-21.156,158.9917,25.0,15.0
Beru,Kiribati,Gilbert Islands,-1.3215,175.9784,51.0,53.0
Bikar,Marshall Islands,Ratak Chain,12.2439,170.1074,39.2,88.5
Bikini,Marshall Islands,Ralik Chain,11.5904,165.3822,29.8,87.2
Birnie,Kiribati,Phoenix Islands,-3.5847,-171.5169,66.0,51.0
Bokak,Marshall Islands,Ratak Chain,14.6559,168.9733,36.9,93.3
Butaritari,Kiribati,Gilbert Islands,3.152,172.8311,46.2,59.7
Chesterfield,New Caledonia,Chesterfield Islands,-19.2865,158.6077,24.5,17.0
Ducie,Pitcairn Islands,Pitcairn Islands,-24.6811,-124.7854,98.0,10.0
Eauripik,Federated States of Micronesia,Caroline Islands,6.6899,143.0416,12.0,64.0
Ebon,Marshall Islands,Ralik Chain,4.6349,168.7192,36.4,73.3
Elato,Federated States of Micronesia,Caroline Islands,7.4406,146.1477,15.0,65.0
Enewetak,Marshall Islands,Ralik Chain,11.4948,162.2244,23.5,87.0
Erikub,Marshall Islands,Ratak Chain,9.142,170.0205,39.0,82.3
Ettal,Federated States of Micronesia,Caroline Islands,5.5903,153.5672,21.0,63.0
Faaite,French Polynesia,Tuamotu Archipelago,-16.7506,-145.2421,81.1,25.3
Fakahina,French Polynesia,Tuamotu Archipelago,-15.9851,-140.1331,87.2,26.2
Fakaofo,Tokelau,Tokelau Islands,-9.3736,-171.2162,55.5,37.0
Fakarava,French Polynesia,Tuamotu Archipelago,-16.2928,-145.6084,80.7,25.9
Fangatau,French Polynesia,Tuamotu Archipelago,-15.8262,-140.8618,86.4,26.4
Fangataufa,French Polynesia,Tuamotu Archipelago,-22.2356,-138.7401,88.9,18.7
Fanna,Palau,Southwest Islands,5.353,132.226,3.0,64.0
Faraulep,Federated States of Micronesia,Caroline Islands,8.679,152.2321,20.0,68.0
Fayu,Federated States of Micronesia,Caroline Islands,8.548,151.34,19.0,68.0
Flint,Kiribati,Line Islands,-11.43,-151.8,91.0,55.0
Funafuti,Tuvalu,Tuvalu,-8.5155,179.113,52.0,38.0
Gaferut,Federated States of Micronesia,Caroline Islands,9.23,145.385,14.0,68.0
Hao,French Polynesia,Tuamotu Archipelago,-18.209167,-140.853611,86.4,23.5
Haraiki,French Polynesia,Tuamotu Archipelago,-17.4651,-143.4489,83.3,24.4
Heina,Papua New Guinea,Bismarck Archipelago,-1.132222,144.505833,12.0,53.0
Helen,Palau,Southwest Islands,2.97375,131.8121,2.5,61.0
Hereheretue,French Polynesia,Tuamotu Archipelago,-19.8698,-144.959,81.5,21.5
Hikueru,French Polynesia,Tuamotu Archipelago,-17.5884,-142.6158,84.4,24.2
Hiti,French Polynesia,Tuamotu Archipelago,-16.7277,-144.0955,82.5,25.3
Houk,Federated States of Micronesia,Caroline Islands,6.6915,149.3024,17.0,63.0
Howland,United States,Isolated Central Pacific,0.807,-176.616,47.8,93.0
Huon,New Caledonia,Loyalty Islands,-18.1031,162.8905,28.0,19.0
Ifalik,Federated States of Micronesia,Caroline Islands,7.2508,144.4462,13.5,64.0
Iles Maria,French Polynesia,Austral Islands,-21.8095,-154.7047,70.0,15.0
Jabat,Marshall Islands,Ralik Chain,7.7517,168.9767,36.9,79.5
Jaluit,Marshall Islands,Ralik Chain,6.0064,169.5537,38.1,76.0
Jarvis,United States,Line Islands,-0.373889,-159.997778,92.0,60.0
Jemo,Marshall Islands,Ratak Chain,10.116667,169.55,38.1,84.2
Johnston,United States,Isolated Northern Pacific,16.732222,-169.530833,55.0,98.0
Kapingamarangi,Federated States of Micronesia,Caroline Islands,1.065,154.7722,22.0,55.0
Katiu,French Polynesia,Tuamotu Archipelago,-16.4236,-144.3601,82.2,25.7
Kauehi,French Polynesia,Tuamotu Archipelago,-15.8772,-145.1562,81.2,26.4
Kaukura,French Polynesia,Tuamotu Archipelago,-15.7563,-146.6987,79.3,26.5
Kayangel,Palau,Caroline Islands,8.0727,134.7054,5.0,68.0
Kili,Marshall Islands,Ralik Chain,5.646111,169.128333,37.2,75.3
