atoll,number_islands,land_area_sqkm,lagoon_area_sqkm,outer_perimeter_km,total_atoll_area_sqkm,no_channels,total_width_channels_km,distance_nearest_atoll_km,nearest_high_island,distance_nearest_high_island_km,distance_continent_km
Abaiang,20,16.6,303.0,90.4,356.86,9,4.6,24.0,Nauru,715,3631
Abariringa,3,9.2,51.0,39.03,68.15,1,0.5,194.0,Samoa,1176,4549
Abemama,5,27.4,200.0,68.45,266.07,2,2.45,38.0,Nauru,775,3679
Addu,29,15.0,111.0,57.47,147.11,4,3.55,48.0,Sri_Lanka,1073,1075
Agatti,2,3.03,14.0,21.59,24.6,1,1.4,8.0,Sri_Lanka,875,353
Ahe,77,12.0,145.0,57.37,174.08,1,0.42,25.0,Tahiti,469,6396
Ahunui,17,5.4,19.0,18.93,27.14,0,0.0,60.0,Mangareva,939,6718
Ailinginae,25,2.8,112.0,66.77,151.47,2,2.28,27.0,Kosrae,738,3560
Ailinglaplap,56,14.7,777.0,139.65,833.21,11,16.1,67.0,Kosrae,674,3530
Ailuk,57,5.4,192.0,76.02,238.32,4,0.86,89.0,Kosrae,938,3860
Aldabra,46,155.4,191.0,86.02,364.25,4,0.95,132.0,Comores,356,650
Alphonse,1,1.7,8.0,17.31,19.75,1,0.44,6.0,Mahe,391,1282
Amanu,101,15.6,212.0,72.51,245.29,2,0.35,35.0,Mangareva,840,6738
Anaa,70,38.0,112.0,68.5,172.89,0,0.0,70.0,Tahiti,386,6394
Analtin,11,5.6,36.0,30.08,61.1,0,0.0,8.8,Manus,259,1112
Ant,12,2.8,74.0,43.68,94.92,1,0.19,29.0,Pohnpei,21,2566
Anuanuraro,6,2.2,9.0,15.78,14.76,0,0.0,31.0,Tahiti,653,6366
Anuanurunga,5,1.17,3.0,9.45,6.8,0,0.0,24.0,Tahiti,686,6377
Apataki,88,21.0,692.0,106.8,748.49,2,0.61,31.0,Tahiti,394,6353
Aranuka,7,13.2,39.0,37.09,71.9,1,0.22,32.0,Nauru,744,3531
Aratika,69,8.3,155.0,58.66,180.17,2,0.18,44.0,Tahiti,460,6400
Ari,105,9.26,2102.0,212.24,2230.15,49,97.58,41.0,Sri_Lanka,834,679
Arno,133,13.0,378.0,152.15,424.45,5,3.28,32.0,Kosrae,968,3776
Arutua,65,15.0,528.0,91.17,583.48,1,0.15,32.0,Tahiti,372,6321
Ashmore,4,0.63,110.4,72.29,264.57,3,6.51,187.0,Rote,145,353
Astove,15,7.9,9.0,18.18,21.88,0,0.0,38.0,Madagascar,263,778
Atafu,52,2.5,16.0,20.72,24.74,0,0.0,92.0,Samoa,539,4108
Aur,42,15.0,237.0,77.58,267.6,5,1.6,27.0,Kosrae,946,3792
Awin,2,0.9,5.0,10.96,8.97,0,0.0,18.0,Manus,281,1019
Bangaram,4,1.19,16.0,28.07,45.09,0,0.0,8.0,Sri_Lanka,862,333
Beautemps-Beaupre,2,0.5,78.0,44.08,111.21,4,7.43,37.0,New_Caledonia,105,1467
