Species,atoll,reference,Order,Family
Carabodes sp.,Kure,"Butler, G.D., & Usinger, R.L. (1963) Insects and other arthropods from Kure Island, Theobald, F.V. (1913) Culicidae from New Caledonia and the Loyalty Islands",Sarcoptiformes,Carabodidae
"Epilohmannia cylindrica (Berlese, 1904)",Nukunonu,"Hickley, A.D. (1969) Ecology of terrestrial arthropods of the Tokelau atolls",Sarcoptiformes,Epilohmanniidae
Pergalumna sp.,Kure,"Butler, G.D., & Usinger, R.L. (1963) Insects and other arthropods from Kure Island",Sarcoptiformes,Galumnidae
"Hermannia foliata (Hammer, 1966)",Nukunonu,"Hickley, A.D. (1969) Ecology of terrestrial arthropods of the Tokelau atolls",Sarcoptiformes,Hermanniidae
"Neoliodes lamellatus (Rainbow, 1897)",Funafuti,"Hedley, C. (1900) The atoll of Funafuti, Ellice Group - its zoology, botany, ethnology, and general structure",Sarcoptiformes,Neoliodidae
"Hoplophorella rangiroaensis (Hammer, 1972)",Rangiroa,"Benton, T.G., & Lehtinen, P.T. (1995) Biodiversity and origin of the non-flying terrestrial arthropods of Henderson Island",Sarcoptiformes,Phthiracaridae
"Scheloribates frimbriatus (Thor, 1930)",Clipperton,"Sachet, M.-H. (1962) Geography and land ecology of Clipperton Island",Sarcoptiformes,Scheloribatidae
"Scheloribates frimbriatus (Thor, 1930)",Laysan,"Butler, G.D., & Usinger, R.L. (1963) Insects and other invertebrates from Laysan Island",Sarcoptiformes,Scheloribatidae
"Scheloribates indicus (Oudemans, 1915)",Clipperton,"Sachet, M.-H. (1962) Geography and land ecology of Clipperton Island",Sarcoptiformes,Scheloribatidae
"Scheloribates indicus (Oudemans, 1915)",Takapoto,"Rivière, F. (1979) La vie animale terrestre à Takapoto",Sarcoptiformes,Scheloribatidae
"Bdellodes longirostris (Hermann, 1804)",Kure,"Butler, G.D., & Usinger, R.L. (1963) Insects and other arthropods from Kure Island",Trombidiformes,Bdellidae
"Aceria guerreronis (Keifer, 1965)",Kavaratti,"Selvaraj, K., Sumalatha, B.V., & Sundararaj, R. (2020) First record of four whiteflies (Hemiptera: Aleyrodidae) in Lakshadweep Islands, India",Trombidiformes,Eriophyidae
Calorema sp.,Kwajalein,"Sugerman, B.B. (1972) Insects and other arthropods from Kwajalein atoll (Marshall Islands)",Trombidiformes,Smarididae
"Brevipalpus obovatus (Donnadieu, 1875)",Kure,"Butler, G.D., & Usinger, R.L. (1963) Insects and other arthropods from Kure Island",Trombidiformes,Tenuipalpidae
"Brevipalpus obovatus (Donnadieu, 1875)",Laysan,"Butler, G.D. (1961) Insects and other arthropods from Laysan Island",Trombidiformes,Tenuipalpidae
"Tetranychus neocaledonicus (André, 1933)",Kure,"Butler, G.D., & Usinger, R.L. (1963) Insects and other arthropods from Kure Island",Trombidiformes,Tetranychidae
