atoll,order,family,species,presence
Kure,Sarcoptiformes,Carabodidae,Carabodes_sp,1
Nukunonu,Sarcoptiformes,Epilohmanniidae,Epilohmannia_cylindrica,1
Kure,Sarcoptiformes,Galumnidae,Pergalumna_sp,1
Nukunonu,Sarcoptiformes,Hermanniidae,Hermannia_foliata,1
Funafuti,Sarcoptiformes,Neoliodidae,Neoliodes_lamellatus,1
Rangiroa,Sarcoptiformes,Phthiracaridae,Hoplophorella_rangiroaensis,1
Clipperton,Sarcoptiformes,Scheloribatidae,Scheloribates_fimbriatus,1
Laysan,Sarcoptiformes,Scheloribatidae,Scheloribates_fimbriatus,1
Clipperton,Sarcoptiformes,Scheloribatidae,Scheloribates_indicus,1
Takapoto,Sarcoptiformes,Scheloribatidae,Scheloribates_indicus,1
Kure,Trombidiformes,Bdellidae,Bdellodes_longirostris,1
Kavaratti,Trombidiformes,Eriophyidae,Aceria_guerreronis,1
Kwajalein,Trombidiformes,Smarididae,Calorema_sp,1
Kure,Trombidiformes,Tenuipalpidae,Brevipalpus_obovatus,1
Laysan,Trombidiformes,Tenuipalpidae,Brevipalpus_obovatus,1
Kure,Trombidiformes,Tetranychidae,Tetranychus_neocaledonicus,1
Kwajalein,Trombidiformes,Tetranychidae,Tetranychus_tumidus,1
Kure,Trombidiformes,Tetranychidae,Tetranychus_urticae,1
Kwajalein,Trombidiformes,Tetranychidae,Tetranychus_urticae,1
Rangiroa,Trombidiformes,Tetranychidae,Tetranychus_sp,1
Clipperton,Mesostigmata,Ascidae,Asca_quinquesetosa,1
Nukunonu,Mesostigmata,Ascidae,Proctolaelaps_sp,1
Clipperton,Mesostigmata,Dinychidae,Fuscuropoda_sp,1
Clipperton,Mesostigmata,Laelapidae,Cosmolaelaps_sp,1
Arno,Mesostigmata,Laelapidae,Echinolaelaps_echidninus,1
Majuro,Mesostigmata,Laelapidae,Echinolaelaps_echidninus,1
Rose,Mesostigmata,Laelapidae,Echinolaelaps_echidninus,1
Takapoto,Mesostigmata,Laelapidae,Echinolaelaps_echidninus,1
Clipperton,Mesostigmata,Laelapidae,Hypoaspis_sp,1
Abariringa,Mesostigmata,Laelapidae,Laelaps_hawaiiensis,1
Takapoto,Mesostigmata,Laelapidae,Laelaps_hawaiiensis,1
Arno,Mesostigmata,Laelapidae,Laelaps_nuttalli,1
Kwajalein,Mesostigmata,Laelapidae,Laelaps_nuttalli,1
Majuro,Mesostigmata,Laelapidae,Laelaps_nuttalli,1
Rose,Mesostigmata,Laelapidae,Laelaps_nuttalli,1
Arno,Mesostigmata,Macrochelidae,Glyptholaspis_asperrima,1
Eniwetok,Mesostigmata,Macronyssidae,Ornithonyssus_sp,1
Laysan,Mesostigmata,Ologamasidae,Gamasiphis_sp,1
Clipperton,Mesostigmata,Pachylaelapidae,Onchodellus_roosevelti,1
Nukunonu,Mesostigmata,Phytoseiidae,Amblyseius_caudatus,1
Kure,Mesostigmata,Phytoseiidae,Amblyseius_largoensis,1
Laysan,Mesostigmata,Phytoseiidae,Amblyseius_largoensis,1
Clipperton,Mesostigmata,Uropodidae,Uropoda_sp,1
Ant,Ixodida,Ixodidae,Amblyomma_breviscutatum,1
Kwajalein,Ixodida,Ixodidae,Rhipicephalus_sanguineus,1
Onotoa,Ixodida,Ixodidae,Rhipicephalus_sanguineus,1
Funafuti,Scorpiones,Buthidae,Buthus_brevicaudatus,1
Kapingamarangi,Scorpiones,Buthidae,Buthus_brevicaudatus,1
Onotoa,Scorpiones,Buthidae,Buthus_brevicaudatus,1
Abariringa,Scorpiones,Buthidae,Isometrus_maculatus,1
Aldabra,Scorpiones,Buthidae,Isometrus_maculatus,1
Astove,Scorpiones,Buthidae,Isometrus_maculatus,1
Kwajalein,Scorpiones,Buthidae,Isometrus_maculatus,1
Midway,Scorpiones,Buthidae,Isometrus_maculatus,1
Nukunonu,Scorpiones,Buthidae,Isometrus_maculatus,1
Onotoa,Scorpiones,Buthidae,Isometrus_maculatus,1
South_Keeling,Scorpiones,Buthidae,Isometrus_maculatus,1
South_Keeling,Scorpiones,Buthidae,Lychas_scutilus,1
Ailuk,Scorpiones,Hormuridae,Liocheles_australasiae,1
Arno,Scorpiones,Hormuridae,Liocheles_australasiae,1
Bikini,Scorpiones,Hormuridae,Liocheles_australasiae,1
Eniwetok,Scorpiones,Hormuridae,Liocheles_australasiae,1
Funafuti,Scorpiones,Hormuridae,Liocheles_australasiae,1
Kapingamarangi,Scorpiones,Hormuridae,Liocheles_australasiae,1
Lae,Scorpiones,Hormuridae,Liocheles_australasiae,1
Takapoto,Scorpiones,Hormuridae,Liocheles_australasiae,1
Ujae,Scorpiones,Hormuridae,Liocheles_australasiae,1
Ulithi,Scorpiones,Hormuridae,Liocheles_australasiae,1
Wotho,Scorpiones,Hormuridae,Liocheles_australasiae,1
Ailuk,Pseudoscorpiones,Atemnidae,Oratemnus_samoanus,1
Eniwetok,Pseudoscorpiones,Atemnidae,Oratemnus_samoanus,1
Likiep,Pseudoscorpiones,Atemnidae,Oratemnus_samoanus,1
Pokak,Pseudoscorpiones,Atemnidae,Oratemnus_samoanus,1
Taka,Pseudoscorpiones,Atemnidae,Oratemnus_samoanus,1
Wotho,Pseudoscorpiones,Atemnidae,Oratemnus_samoanus,1
Eniwetok,Pseudoscorpiones,Chernetidae,Haplochernes_insulanus,1
Arno,Pseudoscorpiones,Chernetidae,Nesidiochernes_maculatus,1
Taka,Pseudoscorpiones,Chernetidae,Nesidiochernes_maculatus,1
Ulithi,Pseudoscorpiones,Chernetidae,Smeringochernes_yapensis,1
Arno,Pseudoscorpiones,Chernetidae,Verrucachernes_oca,1
Ujae,Pseudoscorpiones,Chernetidae,Verrucachernes_oca,1
Eniwetok,Pseudoscorpiones,Chthoniidae,Lechytia_sakagamii,1
Midway,Pseudoscorpiones,Chthoniidae,Lechytia_sakagamii,1
Taka,Pseudoscorpiones,Chthoniidae,Lechytia_sakagamii,1
Ulithi,Pseudoscorpiones,Chthoniidae,Lechytia_sakagamii,1
Aldabra,Pseudoscorpiones,Chthoniidae,Tyrannochthonius_contractus,1
Aldabra,Pseudoscorpiones,Garypidae,Anagarypus_oceanusindicus,1
Aldabra,Pseudoscorpiones,Garypidae,Garypus_impressus,1
Addu,Pseudoscorpiones,Garypidae,Garypus_maldivensis,1
Bikini,Pseudoscorpiones,Garypidae,Garypus_ornatus,1
Funafuti,Pseudoscorpiones,Geogarypidae,Geogarypus_longidigitatus,1
Taka,Pseudoscorpiones,Geogarypidae,Geogarypus_longidigitatus,1
Ulithi,Pseudoscorpiones,Geogarypidae,Geogarypus_longidigitatus,1
Utirik,Pseudoscorpiones,Geogarypidae,Geogarypus_longidigitatus,1
Funafuti,Pseudoscorpiones,Olpiidae,Xenolpium_longiventer,1
Aldabra,Pseudoscorpiones,Olpiidae,Xenolpium_madagascariense,1
Lae,Pseudoscorpiones,Olpiidae,Xenolpium_oceanicum,1
Ujae,Pseudoscorpiones,Olpiidae,Xenolpium_oceanicum,1
Utirik,Pseudoscorpiones,Olpiidae,Xenolpium_oceanicum,1
Aldabra,Pseudoscorpiones,Pseudochiridiidae,Pseudochiridium_africanum,1
Funafuti,Pseudoscorpiones,Syarinidae,Ideobisium_antipodum,1
Aldabra,Pseudoscorpiones,Withiidae,Withius_congicus,1
Laysan,Pseudoscorpiones,Withiidae,Withius_laysanensis,1
Kwajalein,Araneae,Araneidae,Araneus_sp,1
Addu,Araneae,Araneidae,Argiope_anasuja,1
Diego_Garcia,Araneae,Araneidae,Argiope_anasuja,1
Majuro,Araneae,Araneidae,Argiope_appensa,1
Ngcheangel,Araneae,Araneidae,Argiope_appensa,1
Kavaratti,Araneae,Araneidae,Argiope_pulchella,1
Aldabra,Araneae,Araneidae,Argiope_trifasciata,1
Aldabra,Araneae,Araneidae,Caerostris_sexcuspidata,1
Aldabra,Araneae,Araneidae,Cyclosa_camelodes,1
Astove,Araneae,Araneidae,Cyclosa_camelodes,1
Aldabra,Araneae,Araneidae,Cyrtophora_citricola,1
Kavaratti,Araneae,Araneidae,Gasteracantha_diardi,1
Aldabra,Araneae,Araneidae,Gasteracantha_sanguinolenta,1
Cosmoledo,Araneae,Araneidae,Gasteracantha_sanguinolenta,1
Aldabra,Araneae,Araneidae,Larinia_dasia,1
Aldabra,Araneae,Araneidae,Neoscona_angulatula,1
Johnston,Araneae,Araneidae,Neoscona_crucifera,1
Aldabra,Araneae,Araneidae,Neoscona_moreli,1
Kure,Araneae,Araneidae,Neoscona_oaxacensis,1
Midway,Araneae,Araneidae,Neoscona_oaxacensis,1
Aldabra,Araneae,Araneidae,Neoscona_quincasea,1
Funafuti,Araneae,Araneidae,Neoscona_plebeja,1
Kavaratti,Araneae,Araneidae,Neoscona_punctigera,1
Abariringa,Araneae,Araneidae,Neoscona_theisi,1
Anaa,Araneae,Araneidae,Neoscona_theisi,1
Diego_Garcia,Araneae,Araneidae,Neoscona_theisi,1
Ducie,Araneae,Araneidae,Neoscona_theisi,1
Eniwetok,Araneae,Araneidae,Neoscona_theisi,1
Farquhar,Araneae,Araneidae,Neoscona_theisi,1
Funafuti,Araneae,Araneidae,Neoscona_theisi,1
Kwajalein,Araneae,Araneidae,Neoscona_theisi,1
Manihiki,Araneae,Araneidae,Neoscona_theisi,1
Nukunonu,Araneae,Araneidae,Neoscona_theisi,1
Oeno,Araneae,Araneidae,Neoscona_theisi,1
Palmyra,Araneae,Araneidae,Neoscona_theisi,1
