atoll,order,family,species,value
Laysan,Anseriformes,Anatidae,Anas_laysanensis,1.0
Lisianski,Anseriformes,Anatidae,Anas_laysanensis,-1.0
Nissan,Anseriformes,Anatidae,Anas_laysanensis,1.0
Nukumanu,Anseriformes,Anatidae,Anas_laysanensis,-1.0
Ontong_Java,Anseriformes,Anatidae,Anas_laysanensis,1.0
Sikaiana,Anseriformes,Anatidae,Anas_laysanensis,1.0
Nukumbasanga,Anseriformes,Anatidae,Mareca_strepera,1.0
Qelelevu,Anseriformes,Anatidae,Mareca_strepera,1.0
St_Joseph,Anseriformes,Anatidae,Mareca_strepera,1.0
Suheli_Par,Anseriformes,Anatidae,Mareca_strepera,1.0
Thiladhunmathi,Anseriformes,Anatidae,Mareca_strepera,1.0
Thoddoo,Anseriformes,Anatidae,Mareca_strepera,1.0
Motutunga,Galliformes,Megapodiidae,Megapodius_laperouse,1.0
Niau,Galliformes,Megapodiidae,Megapodius_laperouse,1.0
Rangiroa,Galliformes,Megapodiidae,Megapodius_laperouse,1.0
Raraka,Galliformes,Megapodiidae,Megapodius_laperouse,1.0
Kilinailau,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Loraine_Anobat,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Tabiteuea,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Taenga,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Tahanea,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Taiaro,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Taka,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Takapoto,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Takaroa,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Takume,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Takuu,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Tarawa,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Tatakoto,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Tekokota,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Temitangi,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Temoe,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Tenararo,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Tenaruga,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Tepoto,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Tikehau,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Toau,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Tuanake,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Tupai,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Tureia,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Ujae,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Ujelang,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Ulithi,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Vahanga,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Vairaatea,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Vanavana,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Wotho,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Wotje,Galliformes,Megapodiidae,Megapodius_eremita,1.0
Aldabra,Columbiformes,Columbidae,Nesoenas_picturatus,1.0
Alphonse,Columbiformes,Columbidae,Nesoenas_picturatus,-1.0
Astove,Columbiformes,Columbidae,Nesoenas_picturatus,-1.0
Cosmoledo,Columbiformes,Columbidae,Nesoenas_picturatus,1.0
Desroches,Columbiformes,Columbidae,Nesoenas_picturatus,-1.0
Farquhar,Columbiformes,Columbidae,Nesoenas_picturatus,1.0
Glorioso,Columbiformes,Columbidae,Nesoenas_picturatus,-1.0
Ninigo,Columbiformes,Columbidae,Macropygia_mackinlayi,1.0
Nissan,Columbiformes,Columbidae,Macropygia_mackinlayi,1.0
Pinipel,Columbiformes,Columbidae,Macropygia_mackinlayi,1.0
Providence,Columbiformes,Columbidae,Chalcophaps_longirostris,-1.0
St_Joseph,Columbiformes,Columbidae,Pampusana_beccarii,1.0
Thiladhunmathi,Columbiformes,Columbidae,Pampusana_beccarii,1.0
Ahe,Columbiformes,Columbidae,Pampusana_erythroptera,-1.0
Aratika,Columbiformes,Columbidae,Pampusana_erythroptera,-1.0
Faaite,Columbiformes,Columbidae,Pampusana_erythroptera,-1.0
Fakarava,Columbiformes,Columbidae,Pampusana_erythroptera,-1.0
Hao,Columbiformes,Columbidae,Pampusana_erythroptera,-1.0
Hiti,Columbiformes,Columbidae,Pampusana_erythroptera,-1.0
Katiu,Columbiformes,Columbidae,Pampusana_erythroptera,-1.0
Kauehi,Columbiformes,Columbidae,Pampusana_erythroptera,-1.0
Makemo,Columbiformes,Columbidae,Pampusana_erythroptera,-1.0
Manihi,Columbiformes,Columbidae,Pampusana_erythroptera,-1.0
Marutea_Sud,Columbiformes,Columbidae,Pampusana_erythroptera,-1.0
Matureivavao,Columbiformes,Columbidae,Pampusana_erythroptera,-1.0
Ninigo,Columbiformes,Columbidae,Pampusana_erythroptera,1.0
Niutao,Columbiformes,Columbidae,Pampusana_erythroptera,1.0
Nukulaelae,Columbiformes,Columbidae,Pampusana_erythroptera,1.0
Nukumanu,Columbiformes,Columbidae,Pampusana_erythroptera,1.0
Nukumbasanga,Columbiformes,Columbidae,Pampusana_erythroptera,1.0
Nukunonu,Columbiformes,Columbidae,Pampusana_erythroptera,1.0
Nupani,Columbiformes,Columbidae,Pampusana_erythroptera,1.0
Ontong_Java,Columbiformes,Columbidae,Pampusana_erythroptera,1.0
Palmerston,Columbiformes,Columbidae,Pampusana_erythroptera,1.0
Pukapuka,Columbiformes,Columbidae,Pampusana_erythroptera,1.0
Qelelevu,Columbiformes,Columbidae,Pampusana_erythroptera,1.0
Sikaiana,Columbiformes,Columbidae,Pampusana_erythroptera,1.0
Namoluk,Columbiformes,Columbidae,Pampusana_xanthonura,-1.0
Nukuoro,Columbiformes,Columbidae,Pampusana_xanthonura,1.0
Pakin,Columbiformes,Columbidae,Pampusana_xanthonura,1.0
Sapwuahfik,Columbiformes,Columbidae,Pampusana_xanthonura,1.0
Satawan,Columbiformes,Columbidae,Pampusana_xanthonura,1.0
Loraine_Anobat,Columbiformes,Columbidae,Caloenas_nicobarica,1.0
Ninigo,Columbiformes,Columbidae,Caloenas_nicobarica,1.0
Nissan,Columbiformes,Columbidae,Caloenas_nicobarica,1.0
Ahe,Columbiformes,Columbidae,Ptilinopus_coralensis,1.0
Anaa,Columbiformes,Columbidae,Ptilinopus_coralensis,1.0
Apataki,Columbiformes,Columbidae,Ptilinopus_coralensis,1.0
Aratika,Columbiformes,Columbidae,Ptilinopus_coralensis,1.0
Arutua,Columbiformes,Columbidae,Ptilinopus_coralensis,1.0
Faaite,Columbiformes,Columbidae,Ptilinopus_coralensis,1.0
Fakarava,Columbiformes,Columbidae,Ptilinopus_coralensis,1.0
Hiti,Columbiformes,Columbidae,Ptilinopus_coralensis,1.0
Katiu,Columbiformes,Columbidae,Ptilinopus_coralensis,1.0
Kauehi,Columbiformes,Columbidae,Ptilinopus_coralensis,1.0
Kaukura,Columbiformes,Columbidae,Ptilinopus_coralensis,1.0
Makemo,Columbiformes,Columbidae,Ptilinopus_coralensis,1.0
Manihi,Columbiformes,Columbidae,Ptilinopus_coralensis,1.0
Marutea_Sud,Columbiformes,Columbidae,Ptilinopus_coralensis,1.0
Matureivavao,Columbiformes,Columbidae,Ptilinopus_coralensis,-1.0
Mulaku,Columbiformes,Columbidae,Ptilinopus_coralensis,1.0
North_Maalhosmadulu,Columbiformes,Columbidae,Ptilinopus_coralensis,1.0
North_Male,Columbiformes,Columbidae,Ptilinopus_coralensis,1.0
North_Nilandhe,Columbiformes,Columbidae,Ptilinopus_coralensis,1.0
Rasdhoo,Columbiformes,Columbidae,Ptilinopus_coralensis,1.0
South_Maalhosmadulu,Columbiformes,Columbidae,Ptilinopus_coralensis,1.0
South_Male,Columbiformes,Columbidae,Ptilinopus_coralensis,1.0
South_Nilandhe,Columbiformes,Columbidae,Ptilinopus_coralensis,1.0
