species,atoll,reference,Order,Family
"Birgus latro (L., 1767)",Aldabra,"Borradaile, L.A. (1910) No. XV - On the land and amphibious Decapoda of Aldabra",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Ant,"Howald, G., Wegmann, A., & Jones, H. (2006) Feasibility of rat eradication from Ahnd Atoll, Federated States of Micronesia",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Arno,"Holthuis, L.B. (1953) Enumeration of the decapod and stomatopod Crustacea from Pacific coral islands",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Astove,"Bayne, C.J. et al. (1970) Geography and ecology of Astove",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Atafu,"Yaldwyn, J.C., & Wodzicki, K. (1979) Systematics and ecology of the land crabs (Decapoda - Coenobitidae, Grapsidae and Gecarcinidae) of the Tokelau Islands",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Caroline,"Drew, M.M., et al. (2010) A review of the biology and ecology of the robber crab, Birgus latro (Linnaeus, 1767) (Anomura: Coenobitidae)",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",South_Keeling,"Wood-Jones, F. (1909) The fauna of the Cocos-Keeling Atoll, collected by F. Wood-Jones",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Cosmoledo,"Bayne, C.J., et al. (1970) Geography and ecology of Cosmoledo atoll",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Diego Garcia,"Barnett, L.K., & Emms, C. (1996) An annotated checklist of the Chagos archipelago terrestrial fauna (omitting birds) recorded during the 1996 'Friends of the Chagos' expedition",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Ducie,"Bond, A.L., & Lavers, J.L. (2024) New distribution records of the coconut crab (Birgus latro) in eastern Polynesia on Oeno Atoll, Henderson Island, and Ducie Atoll, Pitcairn Islands",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Enderbury,"Pierce, R.J., et al. (2006) Phoenix island conservation survey and assessment of restoration feasibility - Kiribati",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Eniwetok,"Drew, M.M., et al. (2010) A review of the biology and ecology of the robber crab, Birgus latro (Linnaeus, 1767) (Anomura: Coenobitidae)",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Fakaofo,"Yaldwyn, J.C., & Wodzicki, K. (1979) Systematics and ecology of the land crabs (Decapoda - Coenobitidae, Grapsidae and Gecarcinidae) of the Tokelau Islands",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Farquhar,"Poupin, J., et al. (2013) Crustacea Decapoda of Glorieuses Islands, with notes on the distribution of the coconut crab (Birgus latro) in the western Indian Ocean",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Funafuti,"Hedley, C. (1900) The atoll of Funafuti, Ellice Group - its zoology, botany, ethnology, and general structure",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Glorioso,"Poupin, J., et al. (2013) Crustacea Decapoda of Glorieuses Islands, with notes on the distribution of the coconut crab (Birgus latro) in the western Indian Ocean",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Jaluit,"Drew, M.M., et al. (2010) A review of the biology and ecology of the robber crab, Birgus latro (Linnaeus, 1767) (Anomura: Coenobitidae)",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Kapingamarangi,"Niering, W. A. (1963) Terrestrial ecology of Kapingamarangi atoll, Caroline Islands",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Kiritimati,"Drew, M.M., et al. (2010) A review of the biology and ecology of the robber crab, Birgus latro (Linnaeus, 1767) (Anomura: Coenobitidae)",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Kwajalein,"Nelson, V.A. (1977) Radiological survey of plants, animals and soil at Christmas Islands and seven atolls in the Marshall Islands",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Manihiki,"Bullivant, J.S., & McCann, C. (1974) Contributions to the natural history of Manihiki Atoll, Cook Islands",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Manuae,"Steibl, S., et al. (2025) Terrestrial biodiversity of Manuae atoll, Cook Islands",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Namoluk,"Marshall, M., & Fosberg, F.R. (1975) The natural history of Namoluk atoll, Eastern Caroline Islands with identification of vascular flora",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Ngcheangel,"Drew, M.M., et al. (2010) A review of the biology and ecology of the robber crab, Birgus latro (Linnaeus, 1767) (Anomura: Coenobitidae)",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Niau,"Poupin, J. (1996) Crustacea Deacpoda of French Polynesia (Astacidea, Palinuridea, Anomura, Brachyura)",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Nukunonu,"Drew, M.M., et al. (2010) A review of the biology and ecology of the robber crab, Birgus latro (Linnaeus, 1767) (Anomura: Coenobitidae)",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Oeno,"Bond, A.L., & Lavers, J.L. (2024) New distribution records of the coconut crab (Birgus latro) in eastern Polynesia on Oeno Atoll, Henderson Island, and Ducie Atoll, Pitcairn Islands",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Onotoa,"Holthuis, L.B. (1953) Enumeration of the decapod and stomatopod Crustacea from Pacific coral islands",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Palmyra,"Nigro, K.M., et al. (2017) Stable isotope analysis as an early monitoring tool for community-scale effects of rat eradication",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Rangiroa,"Brié, C., & Santos, R. (2008) Étude de la colonisation larvaire de six espèces de crustacés et études préléminaires d'élevage de varo",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Raroia,"Poupin, J. (1996) Crustacea Deacpoda of French Polynesia (Astacidea, Palinuridea, Anomura, Brachyura)",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Rawaki,"Pierce, R.J., et al. (2006) Phoenix island conservation survey and assessment of restoration feasibility - Kiribati",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Rongelap,"Drew, M.M., et al. (2010) A review of the biology and ecology of the robber crab, Birgus latro (Linnaeus, 1767) (Anomura: Coenobitidae)",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Rose,"Peck, R.W. et al. (2014) Arthropods of Rose atoll with special reference to ants",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Takapoto,"Poupin, J. (1996) Crustacea Deacpoda of French Polynesia (Astacidea, Palinuridea, Anomura, Brachyura)",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Tetiaroa,"Sachet, M.-H., & Fosberg, F.R. (1983) An ecological reconnaissance of Tetiaroa atoll, Society Islands",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Tongareva,"Drew, M.M., et al. (2010) A review of the biology and ecology of the robber crab, Birgus latro (Linnaeus, 1767) (Anomura: Coenobitidae)",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Tupai,"Sachet, M.-H. (1983) Botanique de l'ile de Tupai, Îles de la Societe",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Ujae,"Holthuis, L.B. (1953) Enumeration of the decapod and stomatopod Crustacea from Pacific coral islands",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Ujelang,"Holthuis, L.B. (1953) Enumeration of the decapod and stomatopod Crustacea from Pacific coral islands",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Utirik,"Nelson, V.A. (1977) Radiological survey of plants, animals and soil at Christmas Islands and seven atolls in the Marshall Islands",Decapoda - Anomura,Coenobitidae
"Birgus latro (L., 1767)",Wotho,"Holthuis, L.B. (1953) Enumeration of the decapod and stomatopod Crustacea from Pacific coral islands",Decapoda - Anomura,Coenobitidae
"Coenobita brevimanus (Dana, 1852)",Addu,"Hogarth, P., Gherardi, F., & McLaughlin, P.A. (1998) Hermit crabs (Crustacea Decapoda Anomura) of the Maldives with the description of a new species of Catapagurus A. Milne Edwards 1880",Decapoda - Anomura,Coenobitidae
"Coenobita brevimanus (Dana, 1852)",Aldabra,"Alexander, H.G.L. (1979) A preliminary assessment on the role of the terrestrial decapod crustaceans in the Aldabran ecosystem",Decapoda - Anomura,Coenobitidae
"Coenobita brevimanus (Dana, 1852)",Ant,"Howald, G., Wegmann, A., & Jones, H. (2006) Feasibility of rat eradication from Ahnd Atoll, Federated States of Micronesia",Decapoda - Anomura,Coenobitidae
