atoll,order,family,species,presence
Aldabra,Decapoda,Coenobitidae,Birgus_latro,1
Ant,Decapoda,Coenobitidae,Birgus_latro,1
Arno,Decapoda,Coenobitidae,Birgus_latro,1
Astove,Decapoda,Coenobitidae,Birgus_latro,1
Atafu,Decapoda,Coenobitidae,Birgus_latro,1
Caroline,Decapoda,Coenobitidae,Birgus_latro,1
Cosmoledo,Decapoda,Coenobitidae,Birgus_latro,1
Diego_Garcia,Decapoda,Coenobitidae,Birgus_latro,1
Ducie,Decapoda,Coenobitidae,Birgus_latro,1
Enderbury,Decapoda,Coenobitidae,Birgus_latro,1
Eniwetok,Decapoda,Coenobitidae,Birgus_latro,1
Fakaofo,Decapoda,Coenobitidae,Birgus_latro,1
Farquhar,Decapoda,Coenobitidae,Birgus_latro,1
Funafuti,Decapoda,Coenobitidae,Birgus_latro,1
Glorioso,Decapoda,Coenobitidae,Birgus_latro,1
Jaluit,Decapoda,Coenobitidae,Birgus_latro,1
Kapingamarangi,Decapoda,Coenobitidae,Birgus_latro,1
Kiritimati,Decapoda,Coenobitidae,Birgus_latro,1
Kwajalein,Decapoda,Coenobitidae,Birgus_latro,1
Manihiki,Decapoda,Coenobitidae,Birgus_latro,1
Manuae,Decapoda,Coenobitidae,Birgus_latro,1
Namoluk,Decapoda,Coenobitidae,Birgus_latro,1
Ngcheangel,Decapoda,Coenobitidae,Birgus_latro,1
Niau,Decapoda,Coenobitidae,Birgus_latro,1
Nukunonu,Decapoda,Coenobitidae,Birgus_latro,1
Oeno,Decapoda,Coenobitidae,Birgus_latro,1
Onotoa,Decapoda,Coenobitidae,Birgus_latro,1
Palmyra,Decapoda,Coenobitidae,Birgus_latro,1
Rangiroa,Decapoda,Coenobitidae,Birgus_latro,1
Raroia,Decapoda,Coenobitidae,Birgus_latro,1
Rawaki,Decapoda,Coenobitidae,Birgus_latro,1
Rose,Decapoda,Coenobitidae,Birgus_latro,1
South_Keeling,Decapoda,Coenobitidae,Birgus_latro,1
Takapoto,Decapoda,Coenobitidae,Birgus_latro,1
Tetiaroa,Decapoda,Coenobitidae,Birgus_latro,1
Tongareva,Decapoda,Coenobitidae,Birgus_latro,1
Tupai,Decapoda,Coenobitidae,Birgus_latro,1
Ujae,Decapoda,Coenobitidae,Birgus_latro,1
Ujelang,Decapoda,Coenobitidae,Birgus_latro,1
Utirik,Decapoda,Coenobitidae,Birgus_latro,1
Wotho,Decapoda,Coenobitidae,Birgus_latro,1
Addu,Decapoda,Coenobitidae,Coenobita_brevimanus,1
Aldabra,Decapoda,Coenobitidae,Coenobita_brevimanus,1
Ant,Decapoda,Coenobitidae,Coenobita_brevimanus,1
Arno,Decapoda,Coenobitidae,Coenobita_brevimanus,1
Atafu,Decapoda,Coenobitidae,Coenobita_brevimanus,1
Caroline,Decapoda,Coenobitidae,Coenobita_brevimanus,1
Diego_Garcia,Decapoda,Coenobitidae,Coenobita_brevimanus,1
Ducie,Decapoda,Coenobitidae,Coenobita_brevimanus,1
Eniwetok,Decapoda,Coenobitidae,Coenobita_brevimanus,1
Fakaofo,Decapoda,Coenobitidae,Coenobita_brevimanus,1
Funafuti,Decapoda,Coenobitidae,Coenobita_brevimanus,1
Glorioso,Decapoda,Coenobitidae,Coenobita_brevimanus,1
Kapingamarangi,Decapoda,Coenobitidae,Coenobita_brevimanus,1
Kavaratti,Decapoda,Coenobitidae,Coenobita_brevimanus,1
Manuae,Decapoda,Coenobitidae,Coenobita_brevimanus,1
Niau,Decapoda,Coenobitidae,Coenobita_brevimanus,1
Nukunonu,Decapoda,Coenobitidae,Coenobita_brevimanus,1
Nukutepipi,Decapoda,Coenobitidae,Coenobita_brevimanus,1
Palmyra,Decapoda,Coenobitidae,Coenobita_brevimanus,1
Rangiroa,Decapoda,Coenobitidae,Coenobita_brevimanus,1
Raroia,Decapoda,Coenobitidae,Coenobita_brevimanus,1
Rose,Decapoda,Coenobitidae,Coenobita_brevimanus,1
South_Keeling,Decapoda,Coenobitidae,Coenobita_brevimanus,1
Tabuaeran,Decapoda,Coenobitidae,Coenobita_brevimanus,1
Takapoto,Decapoda,Coenobitidae,Coenobita_brevimanus,1
Tetiaroa,Decapoda,Coenobitidae,Coenobita_brevimanus,1
Ujae,Decapoda,Coenobitidae,Coenobita_brevimanus,1
Ujelang,Decapoda,Coenobitidae,Coenobita_brevimanus,1
Ujelang,Decapoda,Coenobitidae,Coenobita_carnescens,1
Aldabra,Decapoda,Coenobitidae,Coenobita_cavipes,1
Eniwetok,Decapoda,Coenobitidae,Coenobita_cavipes,1
Addu,Decapoda,Coenobitidae,Coenobita_compressus,1
Aldabra,Decapoda,Coenobitidae,Coenobita_compressus,1
Abariringa,Decapoda,Coenobitidae,Coenobita_perlatus,1
Addu,Decapoda,Coenobitidae,Coenobita_perlatus,1
Ailuk,Decapoda,Coenobitidae,Coenobita_perlatus,1
Aldabra,Decapoda,Coenobitidae,Coenobita_perlatus,1
Ant,Decapoda,Coenobitidae,Coenobita_perlatus,1
Arno,Decapoda,Coenobitidae,Coenobita_perlatus,1
Ashmore,Decapoda,Coenobitidae,Coenobita_perlatus,1
Astove,Decapoda,Coenobitidae,Coenobita_perlatus,1
Atafu,Decapoda,Coenobitidae,Coenobita_perlatus,1
Bikar,Decapoda,Coenobitidae,Coenobita_perlatus,1
Caroline,Decapoda,Coenobitidae,Coenobita_perlatus,1
Chesterfield,Decapoda,Coenobitidae,Coenobita_perlatus,1
Cosmoledo,Decapoda,Coenobitidae,Coenobita_perlatus,1
Diego_Garcia,Decapoda,Coenobitidae,Coenobita_perlatus,1
Ducie,Decapoda,Coenobitidae,Coenobita_perlatus,1
Enderbury,Decapoda,Coenobitidae,Coenobita_perlatus,1
Eniwetok,Decapoda,Coenobitidae,Coenobita_perlatus,1
Europa,Decapoda,Coenobitidae,Coenobita_perlatus,1
Fakaofo,Decapoda,Coenobitidae,Coenobita_perlatus,1
Funafuti,Decapoda,Coenobitidae,Coenobita_perlatus,1
Glorioso,Decapoda,Coenobitidae,Coenobita_perlatus,1
Kapingamarangi,Decapoda,Coenobitidae,Coenobita_perlatus,1
Kavaratti,Decapoda,Coenobitidae,Coenobita_perlatus,1
Kiritimati,Decapoda,Coenobitidae,Coenobita_perlatus,1
Kwajalein,Decapoda,Coenobitidae,Coenobita_perlatus,1
Lae,Decapoda,Coenobitidae,Coenobita_perlatus,1
Likiep,Decapoda,Coenobitidae,Coenobita_perlatus,1
Manuae,Decapoda,Coenobitidae,Coenobita_perlatus,1
Moruroa,Decapoda,Coenobitidae,Coenobita_perlatus,1
Ngcheangel,Decapoda,Coenobitidae,Coenobita_perlatus,1
Nukunonu,Decapoda,Coenobitidae,Coenobita_perlatus,1
Nukutepipi,Decapoda,Coenobitidae,Coenobita_perlatus,1
Onotoa,Decapoda,Coenobitidae,Coenobita_perlatus,1
Palmyra,Decapoda,Coenobitidae,Coenobita_perlatus,1
Rangiroa,Decapoda,Coenobitidae,Coenobita_perlatus,1
Raroia,Decapoda,Coenobitidae,Coenobita_perlatus,1
Rawaki,Decapoda,Coenobitidae,Coenobita_perlatus,1
Rose,Decapoda,Coenobitidae,Coenobita_perlatus,1
South_Keeling,Decapoda,Coenobitidae,Coenobita_perlatus,1
St_Joseph,Decapoda,Coenobitidae,Coenobita_perlatus,1
Tabuaeran,Decapoda,Coenobitidae,Coenobita_perlatus,1
Taka,Decapoda,Coenobitidae,Coenobita_perlatus,1
