species,atoll,source,Order,Family
"Emballonura semicaudata (Peale, 1848)",Ant,"Buden, D.W. (1996) Reptiles, birds, and mammals of Ant Atoll, Eastern Caroline Islands",Chiroptera,Emballonuridae
"Taphozous mauritianus (Geoffroy, 1818)",Aldabra,"Hill, J.E. (1971) The bats of Aldabra Atoll, Western Indian Ocean",Chiroptera,Emballonuridae
"Chaerephon plicatus (Buchannan, 1800)",North_Keeling,"Thomas, N.M., et al. (2013) A checklist of bats (Mammalia: Chiroptera) from Lao PDR",Chiroptera,Molossidae
"Chaerephon plicatus (Buchannan, 1800)",South_Keeling,"Thomas, N.M., et al. (2013) A checklist of bats (Mammalia: Chiroptera) from Lao PDR",Chiroptera,Molossidae
"Chaerephon pusillus (Miller, 1902)",Aldabra,"O'Brien, J. (2011) Bats of the Western Indian Ocean Islands",Chiroptera,Molossidae
"Pteropus aldabrensis (True, 1893)",Aldabra,"Hill, J.E. (1971) The bats of Aldabra Atoll, Western Indian Ocean",Chiroptera,Pteropodidae
"Pteropus howensis (Troughton, 1931)",Ontong Java,"Troughton, E.l.G. (1931) Three new bats of the Genera Pteropus, Nyctimene, and Chaerephon from Melanesia",Chiroptera,Pteropodidae
"Pteropus mariannus (Desmarest, 1822)",Ulithi,"Wiles, G.J., Engbring, J., & Falanruw, M.V.C. (1991) Population status and natural history of Pteropus mariannus on Ulithi Atoll, Caroline Islands",Chiroptera,Pteropodidae
"Pteropus molossinus (Temminck, 1853)",Ant,"Buden, D.W. (1996) Reptiles, birds, and mammals of Ant Atoll, Eastern Caroline Islands",Chiroptera,Pteropodidae
"Pteropus molossinus (Temminck, 1853)",Pakin,"Buden, D.W. (1996) Reptiles, birds, and mammals of Pakin atoll, Eastern Caroline Islands",Chiroptera,Pteropodidae
"Pteropus pelagicus (Kittlitz, 1836)",Etal,"Buden, D.W., Helgen, K.M., & Wiles, G.J. (2013) Taxonomy, distribution, and natural history of flying foxes (Chiroptera, Pteropodidae) in the Mortlock Islands and Chuuk State, Caroline Islands",Chiroptera,Pteropodidae
"Pteropus pelagicus (Kittlitz, 1836)",Lukunor,"Buden, D.W., Helgen, K.M., & Wiles, G.J. (2013) Taxonomy, distribution, and natural history of flying foxes (Chiroptera, Pteropodidae) in the Mortlock Islands and Chuuk State, Caroline Islands",Chiroptera,Pteropodidae
"Pteropus pelagicus (Kittlitz, 1836)",Namoluk,"Buden, D.W., Helgen, K.M., & Wiles, G.J. (2013) Taxonomy, distribution, and natural history of flying foxes (Chiroptera, Pteropodidae) in the Mortlock Islands and Chuuk State, Caroline Islands",Chiroptera,Pteropodidae
"Pteropus pelagicus (Kittlitz, 1836)",Namonuito,"Buden, D.W., Helgen, K.M., & Wiles, G.J. (2013) Taxonomy, distribution, and natural history of flying foxes (Chiroptera, Pteropodidae) in the Mortlock Islands and Chuuk State, Caroline Islands",Chiroptera,Pteropodidae
"Pteropus pelagicus (Kittlitz, 1836)",Satawan,"Buden, D.W., Helgen, K.M., & Wiles, G.J. (2013) Taxonomy, distribution, and natural history of flying foxes (Chiroptera, Pteropodidae) in the Mortlock Islands and Chuuk State, Caroline Islands",Chiroptera,Pteropodidae
"Pteropus pelewensis (Andersen, 1908)",Ngcheangel,"Wiles, G.J., Engbring, J., & Otobed, D. (1997) Abundance, biology, and human exploitation of bats in the Palau Islands",Chiroptera,Pteropodidae
"Pteropus tonganus (Quoy & Gaimard, 1830)",Nupani,"Pierce, R. et al. (2019) Preliminary report on Tinakula and Reef Islands surveys of Vakavakatia (Santa Cruz Ground-Dove) and Vlumba (Palm Lorikeet)",Chiroptera,Pteropodidae
"Pteropus vampyrus (L., 1758)",Addu,"O'Brien, J. (2011) Bats of the Western Indian Ocean Islands",Chiroptera,Pteropodidae
"Paratriaenops pauliani (Goodman & Ranivo, 2008)",Aldabra,"O'Brien, J. (2011) Bats of the Western Indian Ocean Islands",Chiroptera,Rhinonycteridae
"Pipistrellus tenuis (Temminck, 1840)",North_Keeling,"Thomas, N.M., et al. (2013) A checklist of bats (Mammalia: Chiroptera) from Lao PDR",Chiroptera,Vespertilionidae
"Pipistrellus tenuis (Temminck, 1840)",South_Keeling,"Thomas, N.M., et al. (2013) A checklist of bats (Mammalia: Chiroptera) from Lao PDR",Chiroptera,Vespertilionidae
