atoll,order,family,species,value
Ant,Chiroptera,Emballonuridae,Emballonura_semicaudata,1.0
Aldabra,Chiroptera,Emballonuridae,Taphozous_mauritianus,1.0
North_Keeling,Chiroptera,Molossidae,Chaerephon_plicatus,1.0
South_Keeling,Chiroptera,Molossidae,Chaerephon_plicatus,1.0
Aldabra,Chiroptera,Molossidae,Chaerephon_pusillus,1.0
Aldabra,Chiroptera,Pteropodidae,Pteropus_aldabrensis,1.0
Ontong_Java,Chiroptera,Pteropodidae,Pteropus_howensis,1.0
Nupani,Chiroptera,Pteropodidae,Pteropus_tonganus,1.0
Addu,Chiroptera,Pteropodidae,Pteropus_vampyrus,1.0
Ulithi,Chiroptera,Pteropodidae,Pteropus_mariannus,1.0
Ant,Chiroptera,Pteropodidae,Pteropus_molossinus,1.0
Pakin,Chiroptera,Pteropodidae,Pteropus_molossinus,1.0
Etal,Chiroptera,Pteropodidae,Pteropus_pelagicus,1.0
Lukunor,Chiroptera,Pteropodidae,Pteropus_pelagicus,1.0
Namoluk,Chiroptera,Pteropodidae,Pteropus_pelagicus,1.0
Namonuito,Chiroptera,Pteropodidae,Pteropus_pelagicus,1.0
Satawan,Chiroptera,Pteropodidae,Pteropus_pelagicus,1.0
Ngcheangel,Chiroptera,Pteropodidae,Pteropus_pelewensis,1.0
Aldabra,Chiroptera,Rhinonycteridae,Paratriaenops_pauliani,1.0
South_Keeling,Chiroptera,Vespertilionidae,Pipistrellus_tenuis,1.0
