species,atoll,status,reference,Order,Family
Cycas circinalis L.,Arno,I,"Anderson, D. (1951) The plants of Arno Atoll, Marshall Islands",Cycadales,Cycadaceae
Cycas circinalis L.,Jaluit,I,"Fosberg, F.R., & Sachet, M.-H. (1962) Vascular plants recorded from Jaluit Atoll",Cycadales,Cycadaceae
Cycas circinalis L.,Kwajalein,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1982) A Geographical Checklist of the Micronesian Pteridophyta and Gymnospermae",Cycadales,Cycadaceae
Cycas circinalis L.,Likiep,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1982) A Geographical Checklist of the Micronesian Pteridophyta and Gymnospermae",Cycadales,Cycadaceae
Cycas circinalis L.,Majuro,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1982) A Geographical Checklist of the Micronesian Pteridophyta and Gymnospermae",Cycadales,Cycadaceae
Cycas circinalis L.,Midway,I,"Starr, F., Starr, K., & Loope, L. (2006) Annotated checklist of the vascular plants on Midway Atoll, Hawaii",Cycadales,Cycadaceae
Cycas circinalis L.,Mokil,I,"Glassman, S.F. (1953) New plant records from the Eastern Caroline Islands, with a comparative study of the native plant names",Cycadales,Cycadaceae
Cycas circinalis L.,Ngcheangel,I,"Gressitt, J.L. (1953) Notes on Ngaruangl and Kayangel Atolls, Palau Islands",Cycadales,Cycadaceae
Cycas circinalis L.,Nui,I,"Woodroffe, C.D. (1985) Vegetation and flora of Nui Atoll, Tuvalu",Cycadales,Cycadaceae
Cycas circinalis L.,Tarawa,I,"Fosberg, F.R., Sachet, M.-H., Oliver, R. (1982) A Geographical Checklist of the Micronesian Pteridophyta and Gymnospermae",Cycadales,Cycadaceae
Cycas revoluta Thunb.,Jaluit,I,"Fosberg, F.R., & Sachet, M.-H. (1962) Vascular plants recorded from Jaluit Atoll",Cycadales,Cycadaceae
Cycas revoluta Thunb.,Midway,I,"Starr, F., Starr, K., & Loope, L. (2006) Annotated checklist of the vascular plants on Midway Atoll, Hawaii",Cycadales,Cycadaceae
