species,atoll,source,Order,Family
"Lycodon capucinus (Boie, 1827)",Addu,"Das, I. (1994) Reptiles of South Asia: checklist and distributional summary",Squamata,Colubridae
"Lycodon travancoricus (Beddome, 1870)",Kavaratti,"Ghosh, A.K. (1991) Fauna of Lakshadweep",Squamata,Colubridae
"Gehyra insulensis (Girard, 1858)",Murilo,"Buden, D.W. (2011) Reptiles of the Hall Islands, Chuuk State, Federated States of Micronesia",Squamata,Gekkonidae
"Gehyra insulensis (Girard, 1858)",Namoluk,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Gekkonidae
"Gehyra insulensis (Girard, 1858)",Sapwuahfik,"Buden, D.W. (2000) The reptiles of Sapwuahfik Atoll, Federated States of Micronesia",Squamata,Gekkonidae
"Gehyra insulensis (Girard, 1858)",Sorol,"Buden, D.W. (2013) Reptiles of Sorol Atoll, Yap, Federated States of Micronesia",Squamata,Gekkonidae
"Gehyra mutilata (Wiegmann, 1834)",Aldabra,"Rocha, S., Ineich, I., & Harris, D.J. (2009) Cryptic variation and recent bipolar range expansion within the stumped-toed gecko Gehyra mutilata across Indian and Pacific Ocean islands",Squamata,Gekkonidae
"Gehyra mutilata (Wiegmann, 1834)",Ant,"Buden, D.W. (1996) Reptiles, birds, and mammals of Ant Atoll, Eastern Caroline Islands",Squamata,Gekkonidae
"Gehyra mutilata (Wiegmann, 1834)",Arno,"Kaiser, H., et al. (2020) Herpetological update from Arno Atoll, Republic of the Marshall Islands",Squamata,Gekkonidae
"Gehyra mutilata (Wiegmann, 1834)",Clipperton,"Lorvelec, O., & Pascal, M. (2006) Les vertébrés de Clipperton soumis à un siècle et demi de bouleversements écologiques",Squamata,Gekkonidae
"Gehyra mutilata (Wiegmann, 1834)",Cocos,"Gibson-Hill, C.A. (1950) A note on the reptiles occurring on the Cocos-Keeling Islands",Squamata,Gekkonidae
"Gehyra mutilata (Wiegmann, 1834)",Farquhar,"Gardner, A.S. (1986) The biogeography of the lizards of the Seychelles Islands",Squamata,Gekkonidae
"Gehyra mutilata (Wiegmann, 1834)",Glorioso,"Sanchez, M., et al. (2019) Reptiles of the Iles Eparses, Indian Ocean: inventory, distribution, and conservation status",Squamata,Gekkonidae
"Gehyra mutilata (Wiegmann, 1834)",Kapingamarangi,"Niering, W. A. (1963) Terrestrial ecology of Kapingamarangi atoll, Caroline Islands",Squamata,Gekkonidae
"Gehyra mutilata (Wiegmann, 1834)",Kiritimati,"Burt, C.E., & Burt, M.D. (1932) Herpetological results of the Whitney South Sea expedition",Squamata,Gekkonidae
"Gehyra mutilata (Wiegmann, 1834)",Kure,"Woodward, P.W. (1972) The natural history of Kure Atoll, Northwestern Hawaiian Islands",Squamata,Gekkonidae
"Gehyra mutilata (Wiegmann, 1834)",Manihiki,"Bullivant, J.S., & McCann, C. (1974) Contributions to the natural history of Manihiki Atoll, Cook Islands",Squamata,Gekkonidae
"Gehyra mutilata (Wiegmann, 1834)",Maupihaa,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Gekkonidae
"Gehyra mutilata (Wiegmann, 1834)",Mokil,"Buden, D.W. (1995) Reptiles, birds, and mammals of Mokil and Pingelap atolls, Eastern Caroline Islands",Squamata,Gekkonidae
