atoll,group,family,species,presence
Addu,Squamata,Colubridae,Lycodon_capucinus,1
Kavaratti,Squamata,Colubridae,Lycodon_travancoricus,1
Murilo,Squamata,Gekkonidae,Gehyra_insulensis,1
Namoluk,Squamata,Gekkonidae,Gehyra_insulensis,1
Sapwuahfik,Squamata,Gekkonidae,Gehyra_insulensis,1
Aldabra,Squamata,Gekkonidae,Gehyra_mutilata,1
Ant,Squamata,Gekkonidae,Gehyra_mutilata,1
Arno,Squamata,Gekkonidae,Gehyra_mutilata,1
Clipperton,Squamata,Gekkonidae,Gehyra_mutilata,1
Farquhar,Squamata,Gekkonidae,Gehyra_mutilata,1
Glorioso,Squamata,Gekkonidae,Gehyra_mutilata,1
Kapingamarangi,Squamata,Gekkonidae,Gehyra_mutilata,1
Kiritimati,Squamata,Gekkonidae,Gehyra_mutilata,1
Kure,Squamata,Gekkonidae,Gehyra_mutilata,1
Manihiki,Squamata,Gekkonidae,Gehyra_mutilata,1
Maupihaa,Squamata,Gekkonidae,Gehyra_mutilata,1
Mokil,Squamata,Gekkonidae,Gehyra_mutilata,1
Ngcheangel,Squamata,Gekkonidae,Gehyra_mutilata,1
Niau,Squamata,Gekkonidae,Gehyra_mutilata,1
Rangiroa,Squamata,Gekkonidae,Gehyra_mutilata,1
South_Keeling,Squamata,Gekkonidae,Gehyra_mutilata,1
Swains,Squamata,Gekkonidae,Gehyra_mutilata,1
Takapoto,Squamata,Gekkonidae,Gehyra_mutilata,1
Tikehau,Squamata,Gekkonidae,Gehyra_mutilata,1
Wake,Squamata,Gekkonidae,Gehyra_mutilata,1
Ailinginae,Squamata,Gekkonidae,Gehyra_oceanica,1
Anaa,Squamata,Gekkonidae,Gehyra_oceanica,1
Ant,Squamata,Gekkonidae,Gehyra_oceanica,1
Aratika,Squamata,Gekkonidae,Gehyra_oceanica,1
Arno,Squamata,Gekkonidae,Gehyra_oceanica,1
Bikini,Squamata,Gekkonidae,Gehyra_oceanica,1
Caroline,Squamata,Gekkonidae,Gehyra_oceanica,1
Eniwetok,Squamata,Gekkonidae,Gehyra_oceanica,1
Etal,Squamata,Gekkonidae,Gehyra_oceanica,1
Funafuti,Squamata,Gekkonidae,Gehyra_oceanica,1
Haraiki,Squamata,Gekkonidae,Gehyra_oceanica,1
Jaluit,Squamata,Gekkonidae,Gehyra_oceanica,1
Kapingamarangi,Squamata,Gekkonidae,Gehyra_oceanica,1
Lukunor,Squamata,Gekkonidae,Gehyra_oceanica,1
Manihiki,Squamata,Gekkonidae,Gehyra_oceanica,1
Maupihaa,Squamata,Gekkonidae,Gehyra_oceanica,1
McKean,Squamata,Gekkonidae,Gehyra_oceanica,1
Mokil,Squamata,Gekkonidae,Gehyra_oceanica,1
Moruroa,Squamata,Gekkonidae,Gehyra_oceanica,1
Murilo,Squamata,Gekkonidae,Gehyra_oceanica,1
Namoluk,Squamata,Gekkonidae,Gehyra_oceanica,1
Ngcheangel,Squamata,Gekkonidae,Gehyra_oceanica,1
Niau,Squamata,Gekkonidae,Gehyra_oceanica,1
Nikumaroro,Squamata,Gekkonidae,Gehyra_oceanica,1
Nomwin,Squamata,Gekkonidae,Gehyra_oceanica,1
Nukunonu,Squamata,Gekkonidae,Gehyra_oceanica,1
Nukutepipi,Squamata,Gekkonidae,Gehyra_oceanica,1
Nupani,Squamata,Gekkonidae,Gehyra_oceanica,1
Onotoa,Squamata,Gekkonidae,Gehyra_oceanica,1
Oroluk,Squamata,Gekkonidae,Gehyra_oceanica,1
Orona,Squamata,Gekkonidae,Gehyra_oceanica,1
Pakin,Squamata,Gekkonidae,Gehyra_oceanica,1
Pingelap,Squamata,Gekkonidae,Gehyra_oceanica,1
Rangiroa,Squamata,Gekkonidae,Gehyra_oceanica,1
Raroia,Squamata,Gekkonidae,Gehyra_oceanica,1
Reitoru,Squamata,Gekkonidae,Gehyra_oceanica,1
Rose,Squamata,Gekkonidae,Gehyra_oceanica,1
Sapwuahfik,Squamata,Gekkonidae,Gehyra_oceanica,1
Satawan,Squamata,Gekkonidae,Gehyra_oceanica,1
Scilly,Squamata,Gekkonidae,Gehyra_oceanica,1
Sorol,Squamata,Gekkonidae,Gehyra_oceanica,1
Suwarrow,Squamata,Gekkonidae,Gehyra_oceanica,1
Swains,Squamata,Gekkonidae,Gehyra_oceanica,1
Tabuarean,Squamata,Gekkonidae,Gehyra_oceanica,1
Taka,Squamata,Gekkonidae,Gehyra_oceanica,1
Takapoto,Squamata,Gekkonidae,Gehyra_oceanica,1
Tekokota,Squamata,Gekkonidae,Gehyra_oceanica,1
Tenararo,Squamata,Gekkonidae,Gehyra_oceanica,1
Tetiaroa,Squamata,Gekkonidae,Gehyra_oceanica,1
Tikehau,Squamata,Gekkonidae,Gehyra_oceanica,1
Tongareva,Squamata,Gekkonidae,Gehyra_oceanica,1
Tupai,Squamata,Gekkonidae,Gehyra_oceanica,1
Kavaratti,Squamata,Gekkonidae,Gekko_smithii,1
Abariringa,Squamata,Gekkonidae,Hemidactylus_frenatus,1
Addu,Squamata,Gekkonidae,Hemidactylus_frenatus,1
Arno,Squamata,Gekkonidae,Hemidactylus_frenatus,1
Ashmore,Squamata,Gekkonidae,Hemidactylus_frenatus,1
Atafu,Squamata,Gekkonidae,Hemidactylus_frenatus,1
Bikini,Squamata,Gekkonidae,Hemidactylus_frenatus,1
Bokaak,Squamata,Gekkonidae,Hemidactylus_frenatus,1
Diego_Garcia,Squamata,Gekkonidae,Hemidactylus_frenatus,1
Eniwetok,Squamata,Gekkonidae,Hemidactylus_frenatus,1
Etal,Squamata,Gekkonidae,Hemidactylus_frenatus,1
Fakaofo,Squamata,Gekkonidae,Hemidactylus_frenatus,1
Glorioso,Squamata,Gekkonidae,Hemidactylus_frenatus,1
Johnston,Squamata,Gekkonidae,Hemidactylus_frenatus,1
Kavaratti,Squamata,Gekkonidae,Hemidactylus_frenatus,1
Kure,Squamata,Gekkonidae,Hemidactylus_frenatus,1
Losap,Squamata,Gekkonidae,Hemidactylus_frenatus,1
Lukunor,Squamata,Gekkonidae,Hemidactylus_frenatus,1
Midway,Squamata,Gekkonidae,Hemidactylus_frenatus,1
Murilo,Squamata,Gekkonidae,Hemidactylus_frenatus,1
Niau,Squamata,Gekkonidae,Hemidactylus_frenatus,1
Nomwin,Squamata,Gekkonidae,Hemidactylus_frenatus,1
Nukunonu,Squamata,Gekkonidae,Hemidactylus_frenatus,1
Palmyra,Squamata,Gekkonidae,Hemidactylus_frenatus,1
Rongelap,Squamata,Gekkonidae,Hemidactylus_frenatus,1
Satawan,Squamata,Gekkonidae,Hemidactylus_frenatus,1
South_Keeling,Squamata,Gekkonidae,Hemidactylus_frenatus,1
St_Joseph,Squamata,Gekkonidae,Hemidactylus_frenatus,1
Utirik,Squamata,Gekkonidae,Hemidactylus_frenatus,1
Johnston,Squamata,Gekkonidae,Hemidactylus_garnotii,1
Laysan,Squamata,Gekkonidae,Hemidactylus_garnotii,1
Europa,Squamata,Gekkonidae,Hemidactylus_mabouia,1
Aldabra,Squamata,Gekkonidae,Hemidactylus_mercatorius,1
Astove,Squamata,Gekkonidae,Hemidactylus_mercatorius,1
Cosmoledo,Squamata,Gekkonidae,Hemidactylus_mercatorius,1
Farquhar,Squamata,Gekkonidae,Hemidactylus_mercatorius,1
Glorioso,Squamata,Gekkonidae,Hemidactylus_mercatorius,1
Addu,Squamata,Gekkonidae,Hemidactylus_parvimaculatus,1
