atoll,annual_precipitation_mm,tropical_storms_50km,hurricanes_50km,hurricanes_100km,hurricanes_200km,rainfall_anomaly
Abaiang,2402.0,0,0,0,0,5.469999878
Abariringa,659.0,0,0,0,0,6.079999864
Abemama,2053.0,0,0,0,0,5.469999878
Addu,2270.0,0,0,0,0,1.029999977
Agatti,1575.0,2,1,1,6,
Ahe,1683.0,0,0,1,2,0.959999979
Ahunui,1561.0,0,0,0,2,0.649999985
Ailinginae,1651.0,3,1,2,4,0.87999998
Ailinglaplap,2950.0,2,1,3,6,-1.479999967
Ailuk,1816.0,2,2,2,3,0.759999983
Aldabra,673.0,2,0,0,3,1.019999977
Alphonse,1350.0,0,0,0,0,0.969999978
Amanu,1369.0,0,0,2,2,0.649999985
Anaa,1584.0,0,2,2,3,0.619999986
Analtin,3382.0,0,0,0,0,-2.629999941
Ant,4750.0,1,1,3,6,-1.909999957
Anuanuraro,1693.0,0,1,2,3,0.359999992
Anuanurunga,1693.0,0,1,1,3,0.359999992
Apataki,1683.0,0,1,1,3,0.619999986
Aranuka,1627.0,0,0,0,0,5.469999878
Aratika,1650.0,0,0,1,1,0.619999986
Ari,1966.0,1,0,0,0,0.749999983
Arno,3160.0,3,0,0,2,-1.129999975
Arutua,1683.0,0,1,1,4,0.619999986
Ashmore,950.0,6,3,6,9,
Astove,848.0,3,1,2,4,0.949999979
Atafu,2825.0,1,0,0,3,2.479999945
Aur,2669.0,4,1,1,4,0.169999996
Awin,3382.0,0,0,0,0,-2.629999941
Bangaram,1555.0,2,1,1,6,-0.859999981
Beautemps-Beaupre,1250.0,13,6,10,30,-1.76999996
Bellona,1115.0,6,3,5,17,-1.209999973
Beru,1485.0,0,0,0,0,6.239999861
Bikar,1143.0,1,1,2,3,0.519999988
Bikini,1544.0,4,0,1,6,0.87999998
Birnie,659.0,0,0,0,0,6.079999864
Bitra_Par,1510.0,1,0,3,5,-0.859999981
Bokaak,1143.0,1,1,1,4,0.499999989
Bramble_Haven,3000.0,3,1,1,2,-2.129999952
Budibudi,3000.0,3,0,0,0,-3.239999928
Butaritari,3195.0,0,0,0,0,2.939999934
Byramgore,1510.0,1,0,1,5,-0.859999981
Caroline,1513.0,0,0,0,0,2.69999994
Cato,2010.0,9,3,3,7,
Cherbaniani,1500.0,3,1,1,7,-0.859999981
Chesterfield,1115.0,17,10,16,21,-1.619999964
Chetlat,1510.0,4,2,2,3,-0.619999986
Clipperton,5020.0,4,1,2,9,-1.279999971
Conflict,3000.0,2,0,1,1,-2.129999952
Cosmoledo,848.0,3,1,2,4,1.129999975
Desroches,2367.0,0,0,0,0,
Diego_Garcia,2599.0,0,0,0,1,0.02
Ducie,1801.0,0,0,0,0,1.259999972
Eauripik,3062.0,7,4,9,15,-3.439999923
Ebon,3143.0,1,0,0,2,1.159999974
Egmont,3998.0,2,0,0,0,0.02
Egum,3000.0,0,0,0,0,-3.499999922
Elato,3328.0,7,2,8,17,-3.11999993
Enderbury,659.0,0,0,0,0,6.079999864
Eniwetok,1523.0,5,3,3,9,0.939999979
Erikub,1499.0,4,0,2,2,0.169999996
Etal,3400.0,2,0,1,4,-2.409999946
Europa,137.0,17,3,8,22,-0.329999993
Faadhippolhu,1779.0,1,0,0,0,0.319999993
Faaite,1560.0,1,0,0,3,0.619999986
Fakahina,1305.0,0,0,0,2,1.079999976
Fakaofo,2951.0,1,0,2,2,2.479999945
Fakarava,1656.0,1,0,0,3,0.619999986
Fangatau,1305.0,1,0,0,1,1.079999976
Fangataufa,1613.0,2,0,1,2,0.619999986
Faraulep,3062.0,5,3,9,21,-2.21999995
Farquhar,1350.0,6,2,3,6,0.939999979
Fasdhuthere,1779.0,0,0,0,0,
Felidhu,1966.0,1,0,0,0,0.749999983
French_Frigate_Shoals,939.0,2,1,2,6,-0.279999994
Funafuti,3391.0,2,0,1,4,2.149999952
Fuvahmulah,1854.0,0,0,0,0,
Gaafaru,1966.0,1,0,0,0,0.749999983
Glorioso,1012.0,4,2,3,9,0.619999986
Goidhoo,1779.0,0,0,0,0,
Great_Chagos_Bank,2600.0,3,0,0,0,0.02
Haddhunmathi,2221.0,0,0,0,0,1.019999977
Hao,1369.0,0,0,1,2,0.649999985
Haraiki,1560.0,1,0,0,0,0.89999998
Helen,2915.0,0,0,0,1,-4.239999905
Hereheretue,1633.0,1,1,2,3,0.409999991
Hikueru,1464.0,0,0,0,0,0.409999991
Hiti,1557.0,0,0,0,0,0.89999998
Huon,1250.0,21,9,18,41,-1.78999996
Huvadhu,2246.0,0,0,0,0,1.019999977
Ifalik,3195.0,9,4,7,15,-3.439999923
Ihavandhippolu,1779.0,2,0,1,1,0.319999993
Jaluit,3091.0,3,3,4,4,-1.479999967
Jemo,1778.0,2,1,1,3,0.759999983
Johnston,703.0,1,4,6,7,-0.149999997
Kaashidhoo,1779.0,0,0,0,0,
Kademat,1510.0,4,1,3,4,-0.619999986
Kalpeni,1614.0,4,0,1,7,-0.619999986
Kapingamarangi,3193.0,0,0,0,0,0.249999994
Katiu,1590.0,0,0,0,1,0.89999998
Kauehi,1620.0,0,0,0,2,0.619999986
Kaukura,1701.0,0,1,1,4,0.619999986
Kavaratti,1600.0,1,1,1,6,-0.619999986
Kilinailau,3000.0,0,0,0,0,0.619999986
Kiltan,1510.0,2,2,2,3,-0.619999986
Kiritimati,816.0,0,0,0,0,5.249999883
Kolhumadulu,1966.0,0,0,0,0,1.019999977
Kuop,3594.0,5,1,4,11,-2.719999939
Kure,1101.0,0,1,1,2,-0.43999999
Kuria,1446.0,0,0,0,0,5.469999878
Kurimarau,,1,0,0,1,
Kwajalein,2508.0,4,5,6,9,0.029999999
Lae,2286.0,5,2,4,8,0.029999999
Lamotrek,2641.0,8,2,7,17,-3.11999993
Laualau,3382.0,0,0,0,0,-2.629999941
Laysan,860.0,2,0,1,1,-0.759999983
Leli,,0,0,1,2,
Lib,2581.0,9,2,4,5,0.029999999
Lihou,1094.0,25,5,5,14,
Likiep,1778.0,1,1,1,4,0.279999994
Liot,3382.0,0,0,0,0,-2.629999941
Lisianski,1082.0,2,1,2,3,-0.939999979
Long_Reef,3000.0,4,1,1,1,-2.129999952
Loraine_Anobat,,0,0,0,0,
Losap,3400.0,7,0,3,8,-2.409999946
Losiep,2832.0,18,11,21,51,
Lukunor,3439.0,2,0,0,5,-2.409999946
Mabui,,3,0,1,3,
Maiana,1769.0,0,0,0,0,5.469999878
Majuro,3349.0,2,0,1,3,-1.129999975
Makemo,1722.0,0,0,0,0,0.89999998
Makin,1640.0,0,0,0,0,
Makunudhoo,1779.0,0,0,0,1,0.319999993
Malden,727.0,0,0,0,0,4.589999897
Maloelap,2540.0,3,1,1,3,0.169999996
Malum,3000.0,0,0,0,0,-0.579999987
Manihi,1649.0,0,1,1,2,0.959999979
Manihiki,2347.0,0,0,0,1,0.939999979
Manra,985.0,0,0,0,0,6.079999864
Manuae,1707.0,6,2,5,8,-1.979999956
Manuhangi,1501.0,0,0,0,2,0.649999985
Marakei,1709.0,0,0,0,0,5.469999878
Maria,1894.0,2,0,1,3,-1.379999969
Maria_Est,1683.0,0,0,0,1,0.969999978
Marokau,1465.0,0,0,0,0,0.649999985
Marutea_Nord,1593.0,0,0,0,0,0.89999998
Marutea_Sud,1658.0,3,1,1,1,0.969999978
Mataiva,1752.0,0,2,2,3,0.949999979
Matureivavao,1658.0,2,0,1,3,0.969999978
Maupihaa,1846.0,2,2,3,4,0.049999999
McKean,659.0,0,0,0,0,6.369999858
Mellish,2000.0,18,6,8,17,
Midway,1101.0,1,2,2,2,-0.679999985
Mili,3576.0,1,0,0,2,-1.129999975
Minicoy,1628.0,0,1,3,3,-0.409999991
Mokil,2921.0,4,1,3,6,-1.909999957
Morane,1658.0,2,1,1,2,0.529999988
Moruroa,1613.0,1,1,1,2,0.619999986
Motu_One,1846.0,2,3,3,4,0.049999999
Motutunga,1589.0,1,0,0,2,0.89999998
Mulaku,1966.0,0,0,0,0,0.749999983
Murilo,3000.0,10,6,10,22,-0.849999981
Namoluk,3400.0,3,1,2,5,-2.409999946
Namonuito,3000.0,13,6,12,28,-0.849999981
Namorik,3117.0,4,1,2,4,-1.479999967
Namu,2950.0,7,3,4,7,0.279999994
Nanumanga,3348.0,1,0,0,0,4.969999889
Nanumea,2962.0,0,0,0,0,4.969999889
Napuka,1429.0,0,0,0,1,1.379999969
Nengonengo,1369.0,0,0,0,0,0.649999985
Ngcheangel,3810.0,9,3,7,24,-3.55999992
Ngulu,3426.0,16,9,20,31,-3.429999923
Niau,1650.0,1,0,1,3,0.619999986
Nihiru,1724.0,0,0,0,0,0.89999998
Nikumaroro,1319.0,0,0,0,0,6.369999858
Nikunau,1318.0,0,0,0,0,6.239999861
Ninigo,3382.0,0,0,0,0,-2.629999941
Nissan,,0,0,0,0,
Niulakita,3133.0,3,2,4,5,
Niutao,2886.0,1,0,0,0,4.969999889
Nomwin,3000.0,10,3,10,22,-0.849999981
Nonouti,2132.0,0,0,0,0,6.059999865
North_Keeling,,8,1,1,5,-1.839999959
North_Maalhosmadulu,1779.0,0,0,0,0,0.32
North_Male,1993.0,1,0,0,0,0.749999983
North_Nilandhe,1966.0,0,0,0,0,0.749999983
North_Tubbataha,,4,0,1,7,-2.719999939
Nuguria,3000.0,0,0,0,0,-0.579999987
Nui,3304.0,0,0,0,0,4.969999889
Nukapu,3000.0,2,0,0,3,-2.129999952
Nukufetau,2667.0,0,0,0,1,2.149999952
Nukulaelae,3039.0,4,2,3,5,2.149999952
Nukumanu,3000.0,0,0,0,0,1.899999958
Nukumbasanga,,6,5,13,19,
Nukunonu,2529.0,0,0,1,2,2.479999945
Nukuoro,4125.0,1,0,0,1,-2.039999954
Nukusemanu,,12,8,14,19,
Nukutepipi,1693.0,0,1,1,3,0.359999992
Numa_Miombilou,3000.0,1,0,0,3,-2.129999952
Nupani,4000.0,3,0,0,4,-2.129999952
Oeno,1801.0,1,0,0,0,0.999999978
Olimarao,3195.0,8,4,6,18,-1.909999957
Onotoa,1639.0,0,0,0,0,6.239999861
