atoll,copra_history,cocos_kmsq,broadleaf_kmsq,shrub_kmsq,non_veg_kmsq,cloud_cover_kmsq,total_non-cloud_cover_kmsq,cocos_perc,broadleaf_perc,shrub_perc,non_veg_perc,cloud_perc,cocos_fraction_vegetation_perc,cocos_fraction_tree_perc,monocrop_kmsq,monocrop_coconut_kmsq,coconut_fraction_monocrop_perc
Abaiang,,8.359724,3.713168,2.228396,2.287076,0.516628,16.588364,50.39510828,22.38417242,13.43348868,13.78723062,3.020334649,58.45434341,69.24375701,6.347468,4.54644,54.3850491
Abemama,,11.975628,4.416116,7.921356,5.992992,1.083148,30.306092,39.5155799,14.57171053,26.13783394,19.77487563,3.450698392,49.25586618,73.05890087,8.229904,5.64468,47.1347306
Ahe,,3.249108,3.222924,3.397068,6.552328,0.00942,16.421428,19.78578233,19.62633213,20.6868002,39.90108534,0.057331186,32.92202936,50.20228577,1.84882,1.317976,40.564241
Ahunui,,0.161136,1.776524,0.723148,2.108196,0.035852,4.769004,3.378818722,37.25146802,15.16350165,44.20621161,0.7461618,6.055904823,8.316010033,4e-06,4e-06,0.00248
Ailinginae,,,,,,,,,,,,,,,,,
Ailinglaplap,,,,,,,,,,,,,,,,,
Ailuk,,2.883648,1.97484,0.76554,1.9656,0.0,7.589628,37.99458946,26.02024763,10.08666037,25.89850254,0.0,51.27371343,59.3527863,1.932268,1.383816,47.9883814
Amanu,,2.742188,0.690648,4.428976,7.123304,0.0,14.985116,18.29941123,4.608893251,29.55583394,47.53586158,0.0,34.87984704,79.88112453,1.87254,1.308068,47.7016164
Anaa,,9.523784,6.140384,11.975316,10.897412,0.0,38.536896,24.7134175,15.93377941,31.0749366,28.27786649,0.0,34.45717004,60.79980756,4.630632,3.057096,32.099594
Analtin,,1.685672,3.128832,0.585236,0.028184,0.0,5.427924,31.05555642,57.64325366,10.78194905,0.519240874,0.0,31.21765122,35.01237095,0.558768,0.393276,23.3305174
Ant,,1.183288,1.178556,0.221172,0.06554,0.015628,2.648556,44.67672196,44.49805856,8.350663531,2.474555947,0.586596121,45.81032406,50.10017596,0.54268,0.387192,32.7217043
Anuanuraro,,,,,,,,,,,,,,,,,
Anuanurunga,,,,,,,,,,,,,,,,,
