atoll,region,country,group,lat,long,alternative_names
Abaiang,Micronesia,Kiribati,Gilbert Islands,1.8569,172.9472,"Apaiang, Apia, Charlotte"
Abariringa,Polynesia,Kiribati,,-2.816761,-171.674099,
Abemama,Micronesia,Kiribati,Gilbert Islands,0.3927,173.8657,"Apamama, Roger Simpson, Dundas, Hopper, Simpson"
Addu,Indian_Ocean,Maldives,,-0.64009,73.157791,
Agatti,Indian_Ocean,India,Lakshadweep,10.849093,72.178174,
Ahe,Polynesia,French_Polynesia,Tuamotu Archipelago,-14.4784,-146.3037,"Peacock, Ahemaru, Omaru"
Ahunui,Polynesia,French_Polynesia,Tuamotu Archipelago,-19.6342,-140.4093,"Byam Martin, Nga-taumanga"
Ailinginae,Micronesia,Marshall_Islands,Ralik Chain,11.144382,166.378242,Ailiginae
Ailinglaplap,Micronesia,Marshall_Islands,Ralik Chain,7.394,168.7634,"Ailinglapalap, Lambert"
Ailuk,Micronesia,Marshall_Islands,Ratak Chain,10.3410084,169.9418605,"Aelok, Los Placeres"
Aldabra,Indian_Ocean,Seychelles,,-9.416548,46.343366,
Alphonse,Indian_Ocean,Seychelles,,-7.0206,52.7374,
Amanu,Polynesia,French_Polynesia,Tuamotu Archipelago,-17.8076,-140.7621,"Moller, Las Animas, Timanu, Karere"
Anaa,Polynesia,French_Polynesia,Tuamotu Archipelago,-17.41667,-145.5,"Chain, Nganaa-nui, Ara-ura, Isla de Todos los Santos"
Analtin,Melanesia,Papua_New_Guinea,Bismarck Archipelago,-1.1263,144.3952,
Ant,Micronesia,Federated_States_Micronesia,Caroline Islands,6.7819444,157.9166667,Ahnd
Anuanuraro,Polynesia,French_Polynesia,Tuamotu Archipelago,-20.436,-143.5355,Archangel
Anuanurunga,Polynesia,French_Polynesia,Tuamotu Archipelago,-20.6135,-143.287,
Apataki,Polynesia,French_Polynesia,Tuamotu Archipelago,-15.4527,-146.3248,Hagemeister
Aranuka,Micronesia,Kiribati,Gilbert Islands,0.1659,173.6088,Ananuka
Aratika,Polynesia,French_Polynesia,Tuamotu Archipelago,-15.5392,-145.5294,Carlshoff
Ari,Indian_Ocean,Maldives,,3.83,72.85,
Arno,Micronesia,Marshall_Islands,Ratak Chain,7.081172,171.6562687,
Arutua,Polynesia,French_Polynesia,Tuamotu Archipelago,-15.3217,-146.742,"Ngaru-atua, Rurick, Cockburn"
Ashmore,Timor_Sea,Australia,,-12.24183,123.10465,
Astove,Indian_Ocean,Seychelles,,-10.087218,47.745384,
Atafu,Polynesia,Tokelau,Tokelau Islands,-8.5602,-172.4929,Duke of York
Aur,Micronesia,Marshall_Islands,Ratak Chain,8.255,171.0935,
Awin,Melanesia,Papua_New_Guinea,Bismarck Archipelago,-1.649,144.0179,
Bangaram,Indian_Ocean,India,Lakshadweep,10.946442,72.297878,
Beautemps-Beaupre,Melanesia,New_Caledonia,,-20.3455,166.1691,
Bellona,Melanesia,New_Caledonia,Chesterfield Islands,-21.156,158.9917,
Beru,Micronesia,Kiribati,Gilbert Islands,-1.3215,175.9784,"Eliza, Francis, Maria, Peroat, Peru, Sunday"
Bikar,Micronesia,Marshall_Islands,Ratak Chain,12.25111,170.10303,Pikaar
Bikini,Micronesia,Marshall_Islands,Ralik Chain,11.5391494,165.2716261,"Pikinni, Eschscholtz"
Birnie,Polynesia,Kiribati,Phoenix Islands,-3.5847,-171.5169,
Bitra_Par,Indian_Ocean,India,Lakshadweep,11.5482,72.1636,
Bokaak,Micronesia,Marshall_Islands,Ratak Chain,14.6559,168.9733,"Bokak, Taongi"
Bramble_Haven,Melanesia,Solomon_Islands,,-11.2299,152.0092,
Budibudi,Melanesia,Solomon_Islands,,-9.2862,153.6736,
Butaritari,Micronesia,Kiribati,Gilbert Islands,3.152,172.8311,"Pitt, Taritari, Touching"
Byramgore,Indian_Ocean,India,Lakshadweep,11.8942,71.8011,
Caroline,Polynesia,Kiribati,,-9.9594389,-150.2053785,
Cato,Melanesia,Australia,,-23.21151,155.55512,
Cherbaniani,Indian_Ocean,India,Lakshadweep,12.3498,71.9068,
Chesterfield,Melanesia,New_Caledonia,Chesterfield Islands,-19.2865,158.6077,
Chetlat,Indian_Ocean,India,Lakshadweep,11.6935,72.7078,
Clipperton,Polynesia,France,,10.3036471,-109.2163215,
Conflict,Melanesia,Solomon_Islands,,-10.7804,151.798,
Cosmoledo,Indian_Ocean,Seychelles,,-9.71667,47.58333,
Desroches,Indian_Ocean,Seychelles,,-5.64694,53.64927,
Diego_Garcia,Indian_Ocean,Mauritius,Chagos Archipelago,-7.3383584,72.4718155,
Ducie,Polynesia,Pitcairn_Islands,Pitcairn Islands,-24.67406,-124.77733,Luna Puesta
Eauripik,Micronesia,Federated_States_Micronesia,Caroline Islands,6.6899,143.0416,
Ebon,Micronesia,Marshall_Islands,Ralik Chain,4.634,168.7192,"Epoon, Boston, Covell, Fourteen, Linnez"
Egmont,Indian_Ocean,Mauritius,Chagos Archipelago,-6.6586,71.3523,
Egum,Melanesia,Papua_New_Guinea,,-9.41,151.94,
Elato,Micronesia,Federated_States_Micronesia,Caroline Islands,7.4406,146.1477,
Enderbury,Polynesia,Kiribati,,-3.1263,-171.0865,
Eniwetok,Micronesia,Marshall_Islands,Ralik Chain,11.4205556,162.3405556,"Enewetak, Eniewetok, Brown"
Erikub,Micronesia,Marshall_Islands,Ratak Chain,9.142,170.0205,Adkup
Etal,Micronesia,Federated_States_Micronesia,Caroline Islands,5.5680556,153.5861111,Ettal
Europa,Indian_Ocean,France,,-22.3698,40.3699,
Faadhippolhu,Indian_Ocean,Maldives,,5.3905,73.52,
Faaite,Polynesia,French_Polynesia,Tuamotu Archipelago,-16.7506,-145.2421,"Faaiti, Decena, Miloradovitch"
Fakahina,Polynesia,French_Polynesia,Tuamotu Archipelago,-15.9851,-140.1331,"Enterprise, Kaina, Predpriati"
Fakaofo,Polynesia,Tokelau,Tokelau Islands,-9.3736,-171.2162,Bowditch
Fakarava,Polynesia,French_Polynesia,Tuamotu Archipelago,-16.2928,-145.6084,"Havaiki-te-araro, Havai'i, Farea, Wittgenstein"
Fangatau,Polynesia,French_Polynesia,Tuamotu Archipelago,-15.8262,-140.8618,"Nakai-erua, Arakcheev"
Fangataufa,Polynesia,French_Polynesia,Tuamotu Archipelago,-22.2356,-138.7401,"Fangatafoa, Cockburn"
Faraulep,Micronesia,Federated_States_Micronesia,Caroline Islands,8.591,144.5096,
Farquhar,Indian_Ocean,Seychelles,,-10.1825534,51.165114,
Fasdhuthere,Indian_Ocean,Maldives,,5.324,73.0119,
Felidhu,Indian_Ocean,Maldives,,3.4608,73.466,
French_Frigate_Shoals,Polynesia,US,,23.7551,-166.2096,
Funafuti,Polynesia,Tuvalu,Tuvalu,-8.5155,179.113,Ellice
Fuvahmulah,Indian_Ocean,Maldives,,-0.295605,73.424944,
Gaafaru,Indian_Ocean,Maldives,,4.7477,73.4346,
Glorioso,Indian_Ocean,France,,-11.5468,47.3258,
Goidhoo,Indian_Ocean,Maldives,,4.85498,72.91898,
Great_Chagos_Bank,Indian_Ocean,Mauritius,Chagos Archipelago,-6.210761,72.055034,
Haddhunmathi,Indian_Ocean,Maldives,,1.9212,73.4046,
Hao,Polynesia,French_Polynesia,Tuamotu Archipelago,-18.2471,-140.8738,"Haorangi, Harp"
Haraiki,Polynesia,French_Polynesia,Tuamotu Archipelago,-17.4651,-143.4489,"Croker, San Quentin"
Helen,Micronesia,Palau,Southwest Islands,2.8932,131.7843,Hotsarihie
Hereheretue,Polynesia,French_Polynesia,Tuamotu Archipelago,-19.8698,-144.959,"Hereheretue, Hiri-oro, St. Paul"
Hikueru,Polynesia,French_Polynesia,Tuamotu Archipelago,-17.5884,-142.6158,"Tiveru, Te Karena, Melville"
Hiti,Polynesia,French_Polynesia,Tuamotu Archipelago,-16.7277,-144.0955,"Hiti-rau-mea, Ohiti, Clute"
Huon,Melanesia,New_Caledonia,Loyalty Islands,-18.1031,162.8905,
Huvadhu,Indian_Ocean,Maldives,,0.4824,73.275,
Ifalik,Micronesia,Federated_States_Micronesia,Caroline Islands,7.2508,144.4462,Ifaluk
Ihavandhippolu,Indian_Ocean,Maldives,,7.0279,72.9124,
Jaluit,Micronesia,Marshall_Islands,Ralik Chain,6.1610085,169.4736579,"Jalwoj, Jalooj"
Jemo,Micronesia,Marshall_Islands,Ratak Chain,10.07936,169.5249,"Jamo, Los Pajaros"
Johnston,Polynesia,US,Isolated Northern Pacific,16.728912,-169.5338365,Kalama
Kaashidhoo,Indian_Ocean,Maldives,,4.96011,73.45715,
Kademat,Indian_Ocean,India,Lakshadweep,11.2206,72.7685,
Kalpeni,Indian_Ocean,India,Lakshadweep,10.1026,73.6394,
Kapingamarangi,Micronesia,Federated_States_Micronesia,Caroline Islands,1.0673232,154.7624414,"Greenwich, Pikaram, Los Pescadores, Constantine"
Katiu,Polynesia,French_Polynesia,Tuamotu Archipelago,-16.4236,-144.3601,"Taungataki, Saken"
Kauehi,Polynesia,French_Polynesia,Tuamotu Archipelago,-15.8772,-145.1562,"Putake, Vincennes"
Kaukura,Polynesia,French_Polynesia,Tuamotu Archipelago,-15.7563,-146.6987,"Kaheko, Auura, Oura"
Kavaratti,Indian_Ocean,India,Lakshadweep,10.55905,72.6365688,
Kilinailau,Melanesia,Papua_New_Guinea,Solomon Archipelago,-4.76,155.3899,"Carteret, Tulun, Massacre"
Kiltan,Indian_Ocean,India,Lakshadweep,11.4803,73.0017,
Kiritimati,Polynesia,Kiribati,Line Islands,1.872,-157.3842085,"Christmas, Acea, Turtle"
Kolhumadulu,Indian_Ocean,Maldives,,2.3764,73.1045,
Kuop,Micronesia,Federated_States_Micronesia,Caroline Islands,7.0496,151.928,Neoch
Kure,Polynesia,US,Hawaiian Islands,28.4192965,-178.3299095,"Holaniku, Mokupapapa"
Kuria,Micronesia,Kiribati,Gilbert Islands,0.232269,173.413016,
Kurimarau,Melanesia,Solomon_Islands,,-9.0128,159.2631,
Kwajalein,Micronesia,Marshall_Islands,Ralik Chain,9.140572,167.518491,Kuwajleen
Lae,Micronesia,Marshall_Islands,Ralik Chain,8.9367249,166.2321317,
Lamotrek,Micronesia,Federated_States_Micronesia,Caroline Islands,7.4921,146.3187,
Laualau,Melanesia,Papua_New_Guinea,Bismarck Archipelago,-1.126591,144.493387,Heina
Laysan,Polynesia,US,Hawaiian Islands,25.767765,-171.7328,Kauo
Leli,Melanesia,Solomon_Islands,,-8.7616,161.0164,
Lib,Micronesia,Marshall_Islands,Ralik Chain,8.3132,167.3805,"Ellep, Princess, Los Nadadores"
Lihou,Melanesia,Australia,,-17.3525,151.75892,
Likiep,Micronesia,Marshall_Islands,Ratak Chain,9.9230228,169.0972652,Los Corrales
Liot,Melanesia,Papua_New_Guinea,Bismarck Archipelago,-1.4103,144.5115,
Lisianski,Polynesia,US,Hawaiian Islands,26.064222,-173.966076,Papa‘apoho
Long_Reef,Melanesia,Papua_New_Guinea,,-11.1741,151.5782,
Loraine_Anobat,Melanesia,Papua_New_Guinea,,-2.311,147.537,
Losap,Micronesia,Federated_States_Micronesia,Caroline Islands,6.884,152.691,
Losiep,Micronesia,Federated_States_Micronesia,,9.922344,139.83025,
Lukunor,Micronesia,Federated_States_Micronesia,Caroline Islands,5.522254,153.752639,
Mabui,Melanesia,Papua_New_Guinea,,-10.9309,152.5899,
Maiana,Micronesia,Kiribati,Gilbert Islands,0.9321,173.0036,
Majuro,Micronesia,Marshall_Islands,Ratak Chain,7.123679,171.178239,Majro
Makemo,Polynesia,French_Polynesia,Tuamotu Archipelago,-16.618,-143.689,"Rangi-kemo, Te Paritua, Phillips, Kutusov, Koutousof Smolenski"
Makin,Micronesia,Kiribati,,3.37633,172.9893,
Makunudhoo,Indian_Ocean,Maldives,,6.3094,72.6161,
