atoll,development,country,year_open,year_closure
Abariringa,Military Airfield,USA,1939,1960
Abemama,Navel Base,USA,1943,1944
Addu,Naval Air Facility,UK,1942,1976
Bikini,Naval Air Facility,USA,1946,1958
Bikini,Nuclear testing,USA,1946,1958
Bokaak,Military Airfield,Japan,1940,1943
Diega_Garcia,Naval Base,UK,1971,active
Eniwetok,Naval Base,USA,1944,1977
Eniwetok,Nuclear testing,USA,1944,1977
Fangataufa,Nuclear Testing,France,1964,1996
French_Frigate_Shoals,Naval Base,USA,1942,1945
Funafuti,Naval Air Facility,USA,1942,1945
Jaluit,Naval Base,USA,1944,1986
Johnston,Naval Base,USA,1941,2005
Johnston,Nuclear testing,USA,1941,2005
Kiritimati,Naval Air Facility,UK,1956,1969
Kiritimati,Naval Air Facility,USA,1956,1969
Kiritimati,Nuclear testing,UK,1956,1969
Kiritimati,Nuclear testing,USA,1956,1969
Kure,Military Airfield,USA,<NA>,nan
Kwajalein,Naval Base,USA,1943,1979
Kwajalein,Nuclear testing,USA,1943,1979
Majuro,Submarine Base,USA,1940,1945
Makin,Military Airfield,USA,1943,1944
Maloelap,Military Airfield,Japan,1939,1945
Midway,Naval Air Facility,USA,1941,1993
Mili,Naval Air Facility,Japan,1942,1945
Moruroa,Nuclear Testing,France,1966,1996
Nanumea,Military Airfield,USA,1943,1945
Nukufetau,Military Airfield,USA,1943,1945
Palmyra,Naval Air Facility,USA,1939,1961
Puluwat,Naval Base,Japan,<NA>,nan
South_Keeling,Naval Air Facility,UK,1942,1955
Tarawa,Naval Base,USA,1943,1944
Ulithi,Naval Base,USA,1944,1945
Wake,Naval Air Facility,USA,1935,active
Woleai,Military Airfield,USA,1944,1945
Wotje,Naval Air Facility,Japan,1939,1945
