atoll,nppv,chl,phyc,temp,velo
Abaiang,2.879797975,0.234936078,0.962542265,28.40428598,0.07257617
Abariringa,2.182189832,0.152647677,0.874050644,28.39330368,0.050076332
Abemama,2.564275344,0.184513343,0.898279067,28.40231487,0.081028049
Addu,1.531919298,0.10008939,0.788966057,28.41259173,0.074592285
Ahe,1.697368357,0.112941001,0.818922799,28.37515766,0.048316728
Ahunui,0.728009612,0.067254799,0.717168412,28.32457196,0.052838144
Ailinginae,1.414819927,0.094528769,0.81304472,28.38019076,0.053032881
Ailinglaplap,1.861949449,0.118945685,0.793302605,28.39895519,0.071614771
Ailuk,1.298441391,0.087126923,0.77453592,28.38045929,0.080463679
Aldabra,1.99349929,0.143428452,0.869016196,28.34259911,0.069513003
Alphonse,1.91706531,0.133864416,0.86247626,28.35889781,0.067072076
Amanu,0.89683393,0.072718776,0.738712842,28.34380282,0.048467325
Anaa,1.591043789,0.109742751,0.816858844,28.35459043,0.043579604
Analtin,2.305048781,0.157173508,0.827709837,28.42174301,0.063172531
Ant,1.21770744,0.082183096,0.758476362,28.40953356,0.066013312
Anuanuraro,0.834286467,0.072978593,0.732866261,28.3157256,0.0626225
Anuanurunga,0.780613423,0.070739762,0.7240893,28.31184073,0.064482982
Apataki,1.936320851,0.129851397,0.851175969,28.36979779,0.046966696
Aranuka,2.582065305,0.186376466,0.906620825,28.4026372,0.075893408
Aratika,1.825533909,0.122044923,0.838821787,28.36748887,0.046222649
Ari,1.871117492,0.118865444,0.85142253,28.40414543,0.095293003
Arno,2.078810844,0.138435134,0.82021716,28.39822709,0.088795884
Arutua,1.945349616,0.130632634,0.850727842,28.37002818,0.046289503
Astove,1.9787509,0.142907993,0.859093318,28.33478891,0.10093822
Atafu,1.455271263,0.099037886,0.764204462,28.41553086,0.048940726
Aur,1.784123571,0.115083406,0.804472257,28.39122295,0.081359006
Awin,2.43310327,0.169822523,0.838593833,28.41944464,0.072066927
Bangaram,1.58161644,0.103941001,0.871303861,28.39903403,0.105318362
Beautemps-Beaupre,1.120582507,0.091294009,0.791432207,28.29191792,0.082410443
Bellona,1.346055394,0.110188874,0.789573737,28.26315465,0.083114614
Beru,2.230149272,0.151549285,0.873706994,28.40573095,0.07259372
Bikar,0.830030267,0.068753602,0.726848092,28.3706541,0.063282462
Bikini,1.376561361,0.093032933,0.808388293,28.37959942,0.073208127
Birnie,2.132345173,0.148275499,0.874168331,28.39815802,0.048859644
Bitra_Par,1.606072679,0.105552678,0.875409379,28.39802818,0.100463378
Bokaak,0.654059374,0.062432841,0.715818479,28.36554371,0.057199615
Bramble_Haven,1.783541234,0.119700915,0.852866732,28.37119521,0.0773398
Budibudi,2.325586397,0.164011066,0.864898845,28.39440412,0.097570047
Butaritari,2.394099812,0.171092063,0.876286105,28.40562925,0.104853153
Byramgore,1.600584478,0.105253549,0.874623714,28.3971996,0.09883512
Caroline,1.678382616,0.114588236,0.826250819,28.39037667,0.049243576
Cherbaniani,1.608488485,0.105965574,0.875208413,28.39630641,0.099298066
Chesterfield,1.07903422,0.089012626,0.797444251,28.2959877,0.064264704
Chetlat,1.63902225,0.107660036,0.878463822,28.39877583,0.105510009
Clipperton,2.302095588,0.160339713,0.90620226,28.37367554,0.082761978
Conflict,1.844360037,0.123019829,0.856622431,28.37243508,0.080238724
Cosmoledo,2.002611379,0.143702442,0.865098982,28.33818253,0.09798561
Diego_Garcia,1.794943933,0.12099634,0.840004548,28.37606717,0.079657895
Ducie,0.329455341,0.053482247,0.633903668,28.23819268,0.063056663
Eauripik,1.214158035,0.082144312,0.768826114,28.41132179,0.10363175
Ebon,1.969097286,0.131560541,0.813188747,28.40800945,0.083569404
Egmont,1.655716097,0.111426527,0.825059377,28.38107784,0.071425452
Egum,2.203912519,0.150700534,0.870343444,28.38733439,0.08433973
Elato,1.177390495,0.080460852,0.772876514,28.40903257,0.079642629
Enderbury,2.164608301,0.151204762,0.873175877,28.39414188,0.049015578
Eniwetok,1.334656768,0.090154018,0.795033842,28.3852172,0.047242336
Erikub,1.615680382,0.103936633,0.798451954,28.38770842,0.091622436
Etal,1.295986904,0.085506716,0.764666353,28.41482478,0.071619776
Europa,1.432541235,0.110048959,0.827039765,28.31395928,0.105720222
Faadhippolhu,1.78490179,0.114905705,0.847918724,28.39912582,0.120962478
Faaite,1.709981704,0.117120073,0.826690337,28.35786529,0.041079483
Fakahina,0.78015898,0.066742128,0.707439996,28.35750422,0.049286014
Fakaofo,1.287627293,0.088314737,0.732124533,28.41451723,0.048931639
Fakarava,1.758754659,0.119749581,0.830377549,28.36276854,0.042513841
Fangatau,0.836631801,0.068670764,0.713529296,28.35894677,0.051001831
Fangataufa,0.543536803,0.061998048,0.690796646,28.28699563,0.067823471
Faraulep,1.181032229,0.08096959,0.780927922,28.40536296,0.068359695
Farquhar,2.043221387,0.146390016,0.872892758,28.33837437,0.083502881
