atoll,country,country_status,human_population,number_inhabited_islands
Abaiang,Kiribati,atoll_nation,5502.0,3
Abariringa,Kiribati,atoll_nation,31.0,1
Abemama,Kiribati,atoll_nation,3213.0,4
Addu,Maldives,atoll_nation,25062.0,4
Agatti,India,nation_with_atolls,7521.0,1
Ahe,French_Polynesia,nation_with_atolls,490.0,1
Ahunui,French_Polynesia,nation_with_atolls,0.0,0
Ailinginae,Marshall_Islands,atoll_nation,0.0,0
Ailinglaplap,Marshall_Islands,atoll_nation,1175.0,5
Ailuk,Marshall_Islands,atoll_nation,235.0,1
Aldabra,Seychelles,nation_with_atolls,0.0,0
Alphonse,Seychelles,nation_with_atolls,0.0,0
Amanu,French_Polynesia,nation_with_atolls,154.0,1
Anaa,French_Polynesia,nation_with_atolls,530.0,1
Analtin,Papua_New_Guinea,nation_with_atolls,0.0,0
Ant,Federated_States_Micronesia,nation_with_atolls,0.0,0
Anuanuraro,French_Polynesia,nation_with_atolls,0.0,0
Anuanurunga,French_Polynesia,nation_with_atolls,0.0,0
Apataki,French_Polynesia,nation_with_atolls,444.0,1
Aranuka,Kiribati,atoll_nation,1057.0,2
Aratika,French_Polynesia,nation_with_atolls,231.0,1
Ari,Maldives,atoll_nation,15351.0,16
Arno,Marshall_Islands,atoll_nation,1141.0,6
Arutua,French_Polynesia,nation_with_atolls,1736.0,5
Ashmore,Australia,nation_with_atolls,0.0,0
Astove,Seychelles,nation_with_atolls,0.0,0
Atafu,Tokelau,atoll_nation,491.0,1
Aur,Marshall_Islands,atoll_nation,317.0,2
Awin,Papua_New_Guinea,nation_with_atolls,0.0,0
Bangaram,India,nation_with_atolls,45.0,1
Beautemps-Beaupre,New_Caledonia,nation_with_atolls,0.0,0
Bellona,New_Caledonia,nation_with_atolls,0.0,0
Beru,Kiribati,atoll_nation,2099.0,1
Bikar,Marshall_Islands,atoll_nation,0.0,0
Bikini,Marshall_Islands,atoll_nation,0.0,0
Birnie,Kiribati,atoll_nation,0.0,0
Bitra_Par,India,nation_with_atolls,271.0,1
Bokaak,Marshall_Islands,atoll_nation,0.0,0
Bramble_Haven,Solomon_Islands,nation_with_atolls,0.0,0
Budibudi,Solomon_Islands,nation_with_atolls,300.0,2
Butaritari,Kiribati,atoll_nation,4346.0,4
Byramgore,India,nation_with_atolls,0.0,0
Caroline,Kiribati,atoll_nation,0.0,0
Cato,Australia,nation_with_atolls,0.0,0
Cherbaniani,India,nation_with_atolls,0.0,0
Chesterfield,New_Caledonia,nation_with_atolls,0.0,0
Chetlat,India,nation_with_atolls,2347.0,1
Clipperton,France,nation_with_atolls,0.0,0
Conflict,Solomon_Islands,nation_with_atolls,30.0,1
Cosmoledo,Seychelles,nation_with_atolls,0.0,0
Desroches,Seychelles,nation_with_atolls,0.0,0
Diego_Garcia,Mauritius,nation_with_atolls,0.0,0
Ducie,Pitcairn_Islands,nation_with_atolls,0.0,0
Eauripik,Federated_States_Micronesia,nation_with_atolls,114.0,1
Ebon,Marshall_Islands,atoll_nation,469.0,3
Egmont,Mauritius,nation_with_atolls,0.0,0
Egum,Papua_New_Guinea,nation_with_atolls,0.0,0
Elato,Federated_States_Micronesia,nation_with_atolls,105.0,1
Enderbury,Kiribati,atoll_nation,0.0,0
Eniwetok,Marshall_Islands,atoll_nation,296.0,2
Erikub,Marshall_Islands,atoll_nation,0.0,0
Etal,Federated_States_Micronesia,nation_with_atolls,672.0,1
Europa,France,nation_with_atolls,0.0,0
Faadhippolhu,Maldives,atoll_nation,8992.0,4
Faaite,French_Polynesia,nation_with_atolls,440.0,3
Fakahina,French_Polynesia,nation_with_atolls,173.0,1
Fakaofo,Tokelau,atoll_nation,506.0,2
Fakarava,French_Polynesia,nation_with_atolls,949.0,2
Fangatau,French_Polynesia,nation_with_atolls,150.0,2
Fangataufa,French_Polynesia,nation_with_atolls,0.0,0
Faraulep,Federated_States_Micronesia,nation_with_atolls,115.0,2
Farquhar,Seychelles,nation_with_atolls,0.0,0
Fasdhuthere,Maldives,atoll_nation,557.0,1
Felidhu,Maldives,atoll_nation,1995.0,5
French_Frigate_Shoals,US,nation_with_atolls,0.0,0
Funafuti,Tuvalu,atoll_nation,6602.0,3
Fuvahmulah,Maldives,atoll_nation,9177.0,1
Gaafaru,Maldives,atoll_nation,1294.0,1
Glorioso,France,nation_with_atolls,0.0,0
Goidhoo,Maldives,atoll_nation,1122.0,3
Great_Chagos_Bank,Mauritius,nation_with_atolls,0.0,0
Haddhunmathi,Maldives,atoll_nation,14699.0,10
Hao,French_Polynesia,nation_with_atolls,1009.0,1
Haraiki,French_Polynesia,nation_with_atolls,0.0,0
Helen,Palau,nation_with_atolls,0.0,0
Hereheretue,French_Polynesia,nation_with_atolls,64.0,2
Hikueru,French_Polynesia,nation_with_atolls,125.0,1
Hiti,French_Polynesia,nation_with_atolls,0.0,0
Huon,New_Caledonia,nation_with_atolls,0.0,0
Huvadhu,Maldives,atoll_nation,21948.0,18
Ifalik,Federated_States_Micronesia,nation_with_atolls,578.0,1
Ihavandhippolu,Maldives,atoll_nation,5827.0,5
Jaluit,Marshall_Islands,atoll_nation,1409.0,8
Jemo,Marshall_Islands,atoll_nation,0.0,0
Johnston,US,nation_with_atolls,0.0,0
Kaashidhoo,Maldives,atoll_nation,2528.0,1
Kademat,India,nation_with_atolls,5404.0,1
Kalpeni,India,nation_with_atolls,4419.0,1
