atoll,metric,value
Abaiang,total_reef_extent_kmsq,257.569
Abariringa,total_reef_extent_kmsq,65.755
Abemama,total_reef_extent_kmsq,169.138
Addu,total_reef_extent_kmsq,68.087
Agatti,total_reef_extent_kmsq,31.688
Ahe,total_reef_extent_kmsq,55.933
Ahunui,total_reef_extent_kmsq,13.22
Ailinginae,total_reef_extent_kmsq,81.867
Ailinglaplap,total_reef_extent_kmsq,143.199
Ailuk,total_reef_extent_kmsq,88.018
Aldabra,total_reef_extent_kmsq,242.025
Alphonse,total_reef_extent_kmsq,22.903
Amanu,total_reef_extent_kmsq,62.01
Anaa,total_reef_extent_kmsq,137.894
Analtin,total_reef_extent_kmsq,46.485
Ant,total_reef_extent_kmsq,37.173
Anuanuraro,total_reef_extent_kmsq,14.209
Anuanurunga,total_reef_extent_kmsq,6.226
Apataki,total_reef_extent_kmsq,112.518
Aranuka,total_reef_extent_kmsq,69.272
Aratika,total_reef_extent_kmsq,64.581
Ari,total_reef_extent_kmsq,604.023
Arno,total_reef_extent_kmsq,159.532
Arutua,total_reef_extent_kmsq,203.793
Ashmore,total_reef_extent_kmsq,235.593
Astove,total_reef_extent_kmsq,18.016
Atafu,total_reef_extent_kmsq,24.239
Aur,total_reef_extent_kmsq,59.588
Awin,total_reef_extent_kmsq,8.808
Bangaram,total_reef_extent_kmsq,50.398
Beautemps-Beaupre,total_reef_extent_kmsq,33.34
Bellona,total_reef_extent_kmsq,269.846
Beru,total_reef_extent_kmsq,52.402
Bikar,total_reef_extent_kmsq,55.742
Bikini,total_reef_extent_kmsq,151.45
Birnie,total_reef_extent_kmsq,2.107
Bitra_Par,total_reef_extent_kmsq,71.414
Bokaak,total_reef_extent_kmsq,102.421
Bramble_Haven,total_reef_extent_kmsq,74.095
Budibudi,total_reef_extent_kmsq,20.514
Butaritari,total_reef_extent_kmsq,229.213
Byramgore,total_reef_extent_kmsq,112.151
Caroline,total_reef_extent_kmsq,20.623
Cato,total_reef_extent_kmsq,7.506
Cherbaniani,total_reef_extent_kmsq,52.576
Chesterfield,total_reef_extent_kmsq,454.535
Chetlat,total_reef_extent_kmsq,7.113
Clipperton,total_reef_extent_kmsq,4.752
Conflict,total_reef_extent_kmsq,75.415
Cosmoledo,total_reef_extent_kmsq,153.511
Desroches,total_reef_extent_kmsq,69.255
Diego_Garcia,total_reef_extent_kmsq,108.093
Ducie,total_reef_extent_kmsq,4.717
Eauripik,total_reef_extent_kmsq,20.786
Ebon,total_reef_extent_kmsq,39.345
Egmont,total_reef_extent_kmsq,34.996
Egum,total_reef_extent_kmsq,83.867
Elato,total_reef_extent_kmsq,22.072
Enderbury,total_reef_extent_kmsq,3.543
Eniwetok,total_reef_extent_kmsq,187.057
Erikub,total_reef_extent_kmsq,75.338
Etal,total_reef_extent_kmsq,14.495
Europa,total_reef_extent_kmsq,15.382
Faadhippolhu,total_reef_extent_kmsq,190.723
Faaite,total_reef_extent_kmsq,215.26
Fakahina,total_reef_extent_kmsq,18.822
Fakaofo,total_reef_extent_kmsq,50.492
Fakarava,total_reef_extent_kmsq,392.12
Fangatau,total_reef_extent_kmsq,14.153
Fangataufa,total_reef_extent_kmsq,32.65
Faraulep,total_reef_extent_kmsq,10.335
Farquhar,total_reef_extent_kmsq,188.95
Fasdhuthere,total_reef_extent_kmsq,38.655
Felidhu,total_reef_extent_kmsq,361.919
French_Frigate_Shoals,total_reef_extent_kmsq,493.682
Funafuti,total_reef_extent_kmsq,88.345
Fuvahmulah,total_reef_extent_kmsq,5.903
Gaafaru,total_reef_extent_kmsq,44.371
Glorioso,total_reef_extent_kmsq,83.853
Goidhoo,total_reef_extent_kmsq,61.83
Great_Chagos_Bank,total_reef_extent_kmsq,665.982
Haddhunmathi,total_reef_extent_kmsq,199.443
Hao,total_reef_extent_kmsq,144.637
Haraiki,total_reef_extent_kmsq,22.394
Helen,total_reef_extent_kmsq,97.681
Hereheretue,total_reef_extent_kmsq,31.767
Hikueru,total_reef_extent_kmsq,13.247
Hiti,total_reef_extent_kmsq,17.537
Huon,total_reef_extent_kmsq,85.491
Huvadhu,total_reef_extent_kmsq,488.284
Ifalik,total_reef_extent_kmsq,8.615
Ihavandhippolu,total_reef_extent_kmsq,108.877
Jaluit,total_reef_extent_kmsq,244.591
Jemo,total_reef_extent_kmsq,3.071
