atoll,species,population
Abaiang,Anous_stolidus,435.0
Abariringa,Anous_stolidus,4000.0
Abemama,Anous_stolidus,714.0
Addu,Anous_stolidus,1155.0
Ahe,Anous_stolidus,428.0
Ahunui,Anous_stolidus,837.0
Ailinginae,Anous_stolidus,450.0
Ailinglaplap,Anous_stolidus,502.0
Ailuk,Anous_stolidus,1236.0
Aldabra,Anous_stolidus,3500.0
Alphonse,Anous_stolidus,0.0
Amanu,Anous_stolidus,823.0
Anaa,Anous_stolidus,791.0
Analtin,Anous_stolidus,0.0
Ant,Anous_stolidus,15.0
Anuanuraro,Anous_stolidus,515.0
Anuanurunga,Anous_stolidus,443.0
Apataki,Anous_stolidus,527.0
Aranuka,Anous_stolidus,400.0
Aratika,Anous_stolidus,467.0
Ari,Anous_stolidus,0.0
Arno,Anous_stolidus,408.0
Arutua,Anous_stolidus,489.0
Astove,Anous_stolidus,0.0
Atafu,Anous_stolidus,20000.0
Aur,Anous_stolidus,546.0
Awin,Anous_stolidus,0.0
Bangaram,Anous_stolidus,0.0
Beautemps-Beaupre,Anous_stolidus,4.0
Bellona,Anous_stolidus,27000.0
Beru,Anous_stolidus,1132.0
Bikar,Anous_stolidus,1000.0
Bikini,Anous_stolidus,2760.0
Birnie,Anous_stolidus,4000.0
Bitra_Par,Anous_stolidus,0.0
Bokaak,Anous_stolidus,300.0
Bramble_Haven,Anous_stolidus,0.0
Budibudi,Anous_stolidus,0.0
Butaritari,Anous_stolidus,842.0
Byramgore,Anous_stolidus,250.0
Caroline,Anous_stolidus,3000.0
Cherbaniani,Anous_stolidus,1700.0
Chesterfield,Anous_stolidus,39486.0
Chetlat,Anous_stolidus,0.0
Clipperton,Anous_stolidus,3374.0
Cocos,Anous_stolidus,15000.0
Conflict,Anous_stolidus,0.0
Cosmoledo,Anous_stolidus,95.0
Diego_Garcia,Anous_stolidus,1392.0
Ducie,Anous_stolidus,400.0
Eauripik,Anous_stolidus,684.0
Ebon,Anous_stolidus,510.0
Egmont,Anous_stolidus,128.0
Egum,Anous_stolidus,0.0
Elato,Anous_stolidus,139.0
Enderbury,Anous_stolidus,4000.0
Eniwetok,Anous_stolidus,4600.0
Erikub,Anous_stolidus,500.0
Etal,Anous_stolidus,47.0
Europa,Anous_stolidus,0.0
Faadhippolhu,Anous_stolidus,0.0
Faaite,Anous_stolidus,50.0
Fakahina,Anous_stolidus,1147.0
Fakaofo,Anous_stolidus,484.0
Fakarava,Anous_stolidus,91.0
Fangatau,Anous_stolidus,0.0
Fangataufa,Anous_stolidus,100.0
Faraulep,Anous_stolidus,539.0
Farquhar,Anous_stolidus,38278.0
Felidhu,Anous_stolidus,0.0
French_Frigate_Shoals,Anous_stolidus,20000.0
Funafuti,Anous_stolidus,1479.0
Gaafaru,Anous_stolidus,0.0
Glorioso,Anous_stolidus,600.0
Great_Chagos_Bank,Anous_stolidus,2268.0
Haddhunmathi,Anous_stolidus,0.0
Hao,Anous_stolidus,972.0
Haraiki,Anous_stolidus,333.0
Helen,Anous_stolidus,0.0
Hereheretui,Anous_stolidus,1245.0
Hikueru,Anous_stolidus,728.0
Hiti,Anous_stolidus,188.0
Huon,Anous_stolidus,4246.0
Huvadhu,Anous_stolidus,0.0
Ifalik,Anous_stolidus,458.0
Ihavandhippolu,Anous_stolidus,0.0
Jaluit,Anous_stolidus,53.0
Jemo,Anous_stolidus,1000.0
Johnston,Anous_stolidus,35000.0
Kademat,Anous_stolidus,6600.0
Kalpeni,Anous_stolidus,0.0
Kapingamarangi,Anous_stolidus,376.0
Katiu,Anous_stolidus,445.0
Kauehi,Anous_stolidus,465.0
Kaukura,Anous_stolidus,490.0
Kavaratti,Anous_stolidus,0.0
Kilinailau,Anous_stolidus,0.0
Kiltan,Anous_stolidus,0.0
Kiritimati,Anous_stolidus,46000.0
Kolhumadulu,Anous_stolidus,0.0
Kuop,Anous_stolidus,0.0
Kure,Anous_stolidus,2000.0
Kuria,Anous_stolidus,750.0
Kwajalein,Anous_stolidus,132.0
Lae,Anous_stolidus,433.0
Lamotrek,Anous_stolidus,247.0
Laualau,Anous_stolidus,0.0
Laysan,Anous_stolidus,25000.0
Lib,Anous_stolidus,428.0
Likiep,Anous_stolidus,1014.0
Liot,Anous_stolidus,0.0
Lisianski,Anous_stolidus,20000.0
Long_Reef,Anous_stolidus,0.0
Losap,Anous_stolidus,94.0
Lukunor,Anous_stolidus,67.0
Maalhosmadulu,Anous_stolidus,0.0
