Atoll,Alternative names,Type,Country,Group,Subgroup,Lat,Lon,Average Rainfall (mm/yr),Inhabited?,History of copra production,Copra reference,Elevation (m),cocos km2,broadleaf km2,shrub km2,non_veg km2,cloud km2,total km2,total non-cloud km2,cocos%,broadleaf%,shrub%,non_veg%,cloud%,cocos/veg%,cocos/tree%,monocrop km2,monocrop coconut km2,% of coconut existing in monocrop
Abaiang,"Apaiang, Apia, Charlotte",Atoll,Kiribati,Gilbert Islands,Northern Gilberts,1.8569,172.9472,2356.52196,1,Yes,https://www.britannica.com/place/Abaiang-Atoll,3,8.359724,3.713168,2.228396,2.287076,0.516628,17.104992,16.588364,50.39510828,22.38417242,13.43348868,13.78723062,3.020334649,58.45434341,69.24375701,6.347468,4.54644,54.3850491
Abemama,"Apamama, Roger Simpson, Dundas, Hopper, Simpson",Atoll,Kiribati,Gilbert Islands,Central Gilberts,0.3927,173.8657,1671.6786,1,Yes,https://www.britannica.com/place/Abemama-Atoll,3,11.975628,4.416116,7.921356,5.992992,1.083148,31.38924,30.306092,39.5155799,14.57171053,26.13783394,19.77487563,3.450698392,49.25586618,73.05890087,8.229904,5.64468,47.1347306
Ahe,"Peacock, Ahemaru, Omaru",Atoll,French Polynesia,Tuamotu Archipelago,King George Islands,-14.4784,-146.3037,1333.76016,1,Yes,https://www.airtahiti.com/en/ahe,4,3.249108,3.222924,3.397068,6.552328,0.00942,16.430848,16.421428,19.78578233,19.62633213,20.6868002,39.90108534,0.057331186,32.92202936,50.20228577,1.84882,1.317976,40.564241
Ahnd,Ant,Atoll,Federated States of Micronesia,Caroline Islands,Pohnpei State,6.7768,157.9598,3080.10276,0,Yes,https://micronesica.org/sites/default/files/2_-_budenocr.pdf,5,1.183288,1.178556,0.221172,0.06554,0.015628,2.664184,2.648556,44.67672196,44.49805856,8.350663531,2.474555947,0.586596121,45.81032406,50.10017596,0.54268,0.387192,32.7217043
Ahunui,"Byam Martin, Nga-taumanga",Closed Atoll,French Polynesia,Tuamotu Archipelago,Hao Group,-19.6342,-140.4093,1591.60332,0,Yes,http://yabaha.net/dahl/isldb/IKM.htm,8,0.161136,1.776524,0.723148,2.108196,0.035852,4.804856,4.769004,3.378818722,37.25146802,15.16350165,44.20621161,0.7461618,6.055904823,8.316010033,0.000004,0.000004,2.48E-03
Ailinginae,Ailiginae,Atoll,Marshall Islands,Ralik Chain,,11.1429,166.4339,1211.01228,0,Unknown,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ailinglaplap,"Ailinglapalap, Lambert",Atoll,Marshall Islands,Ralik Chain,,7.3947,168.7634,2958.8778,1,Yes,https://marshallislandsjournal.com/rmis-bumper-copra-year/,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ailuk,"Aelok, Los Placeres",Atoll,Marshall Islands,Ratak Chain,,10.3134,169.9373,1425.59772,1,Yes,"http://www.reefbase.org/global_database/dbr1,23,MHL,473.aspx",3,2.883648,1.97484,0.76554,1.9656,0,7.589628,7.589628,37.99458946,26.02024763,10.08666037,25.89850254,0,51.27371343,59.3527863,1.932268,1.383816,47.9883814
Akiaki,"Lancier, Thrum",Coral Island,French Polynesia,Tuamotu Archipelago,Far East Tuamotu Group,-18.55,-139.22,1535.36724,0,Yes,https://tropicalislands.net/category/ecological-education/,9,0.445056,0.440124,0.1322,0.212592,0.066748,1.29672,1.229972,36.18423834,35.7832536,10.74821215,17.2842959,5.147448948,43.74530657,50.27858741,0.209132,0.138004,31.0082327
Amanu,"Moller, Las Animas, Timanu, Karere",Atoll,French Polynesia,Tuamotu Archipelago,Hao Group,-17.8076,-140.7621,1586.94804,1,Yes,https://www.moxon.net/photo_library/index.php?location=Amanu&article_name=amanu.html&folder=french_polynesia&all=on&french_polynesia=on&order=place&terms=&all=on&skip=0&submitted=1,9,2.742188,0.690648,4.428976,7.123304,0,14.985116,14.985116,18.29941123,4.608893251,29.55583394,47.53586158,0,34.87984704,79.88112453,1.87254,1.308068,47.7016164
Anaa,"Chain, Nganaa-nui, Ara-ura, Isla de Todos los Santos",Closed Atoll,French Polynesia,Tuamotu Archipelago,Raeffsky Islands,-17.4134,-145.4918,1587.53004,1,Yes,https://www.theislandinitiative.org/projects/anaa-atoll/,7,9.523784,6.140384,11.975316,10.897412,0,38.536896,38.536896,24.7134175,15.93377941,31.0749366,28.27786649,0,34.45717004,60.79980756,4.630632,3.057096,32.099594
Anuanuraro,Archangel,Closed Atoll,French Polynesia,Tuamotu Archipelago,Duke of Gloucester Islands,-20.436,-143.5355,1816.9008,0,Unknown,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anuanurunga,,Closed Atoll,French Polynesia,Tuamotu Archipelago,Duke of Gloucester Islands,-20.6135,-143.287,1877.30232,0,Unknown,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apataki,Hagemeister,Atoll,French Polynesia,Tuamotu Archipelago,Palliser Islands,-15.4527,-146.3248,1665.3882,1,Yes,https://earthobservatory.nasa.gov/images/6341/apataki-atoll,4,6.33606,3.765756,6.828168,7.178796,0.597184,24.705964,24.10878,26.28113077,15.61985302,28.32232904,29.77668717,2.417165345,37.42507967,62.72198979,4.47268,3.292592,51.965922
Aranuka,Ananuka,Atoll,Kiribati,Gilbert Islands,Central Gilberts,0.1659,173.6088,1573.26144,1,Yes,https://mapcarta.com/27499142,3,5.038572,1.258844,3.6092,5.233016,0.063096,15.202728,15.139632,33.28067684,8.31489167,23.83941697,34.56501453,0.415030776,50.86067735,80.01015019,3.887456,2.965344,58.8528655
Aratika,Carlshoff,Atoll,French Polynesia,Tuamotu Archipelago,Raeffsky Islands,-15.5392,-145.5294,1374.81528,1,Yes,https://en.unesco.org/biosphere/eu-na/commune-de-fakarava,4,1.407092,2.212772,3.603864,4.05658,0,11.280308,11.280308,12.47387926,19.61623743,31.94827659,35.96160672,0,19.47875114,38.87140511,0.523864,0.371524,26.4036751
Arno,,Atoll,Marshall Islands,Ratak Chain,,7.0611,171.6631,3327.77196,1,Yes,https://marshallislandsjournal.com/rmis-bumper-copra-year/,2,8.14644,2.875596,2.271324,3.520456,0.12942,16.943236,16.813816,48.45086921,17.10257802,13.50867644,20.93787633,0.76384464,61.28202351,73.9104826,6.652292,5.424084,66.5822617
Arorae,"Hope, Hurd, Arorai, Arurai",Coral Island,Kiribati,Gilbert Islands,Southern Gilberts,-2.64,176.83,1622.25696,1,Yes,,2,4.894724,1.410164,0.403676,0.509832,0,7.218396,7.218396,67.80902572,19.5356974,5.592322727,7.062954152,0,72.962321,77.63379778,5.240324,3.923788,80.1636211
Arutua,"Ngaru-atua, Rurick, Cockburn",Atoll,French Polynesia,Tuamotu Archipelago,Palliser Islands,-15.3217,-146.742,1444.62684,1,Yes,https://rahuicenter.pf/en/our-projects/arutua/,4,2.827828,2.433756,5.462752,5.83414,0.329212,16.887688,16.558476,17.07782769,14.69794684,32.99066895,35.23355652,1.949420193,26.36832714,53.74480385,1.279796,0.839344,29.6815789
Asia,,Coral Island,Indonesia,Raja Ampat Archipelago,,1.0396,131.2509,2513.38296,1,Unknown,,,0.361084,7.667652,0.467956,0.431664,0.054332,8.982688,8.928356,4.044238379,85.87977451,5.24123366,4.834753453,0.604852356,4.249700942,4.497395356,0.000532,0.000384,0.1063464
Atafu,Duke of York,Closed Atoll,Tokelau,Tokelau Islands,,-8.5602,-172.4929,2783.45376,1,Yes,https://www.britannica.com/place/Atafu,5,1.737356,0.629068,0.424432,0.960096,0,3.750952,3.750952,46.3177348,16.7708891,11.31531409,25.59606201,0,62.25172492,73.41693627,1.434236,1.201848,69.1768411
Aua,Durour,Coral Island,Papua New Guinea,Bismarck Archipelago,Western Islands,-1.463333,143.060833,3374.53272,1,Yes,https://nla.gov.au/nla.obj-319422511/view?sectionId=nla.obj-374068796&partId=nla.obj-319637213#page/n62/mode/1up,2,0.314836,4.762412,0.312824,0.049464,0,5.439536,5.439536,5.787920146,87.55180589,5.750931697,0.909342267,0,5.841035148,6.200918293,0.056176,0.03988,12.6669123
Aur,,Atoll,Marshall Islands,Ratak Chain,,8.2557,171.0935,2374.17312,1,Yes,https://marshallislandsjournal.com/dengue-ban-slows-copra-production/,3,2.35852,1.12066,1.0238,0.470224,0,4.973204,4.973204,47.42455769,22.53396402,20.58632624,9.455152051,0,52.37687043,67.78953661,1.921492,1.430436,60.6497295
Awin,,Atoll,Papua New Guinea,Bismarck Archipelago,Western Islands,-1.6475,144.029722,3558.86796,1,Yes,https://nla.gov.au/nla.obj-318598376/view?sectionId=nla.obj-332834748&partId=nla.obj-318730234#page/n87/mode/1up,2,0.581436,0.176076,0.075468,0.016624,0,0.849604,0.849604,68.43611847,20.7244787,8.882726541,1.956676287,0,69.80191601,76.75601179,0.571768,0.44082,75.815739
Baker,New Nantucket,Coral Island,United States,Isolated Central Pacific,,0.195,-176.479,913.88016,0,No,https://www.fws.gov/refuge/baker-island,8,0.001784,0.002192,1.420312,0.218696,0,1.642984,1.642984,0.10858292,0.133415785,86.44709869,13.3109026,0,0.125255566,44.86921529,0,0,0
