ID,Atoll,HISTO_0,HISTO_1,HISTO_2,HISTO_5,HISTO_9,total,cocos%,non_veg%,cocos/veg%,broadleaf%,total km2
1,Abaiang,10,3,18,11,0,42,23.80952381,26.19047619,32.25806452,7.142857143,0.000168
2,Abaiang,21,3,38,19,0,81,25.92592593,23.45679012,33.87096774,3.703703704,0.000324
3,Abaiang,1,5,7,22,0,35,2.857142857,62.85714286,7.692307692,14.28571429,0.00014
4,Abaiang,10,6,17,8,0,41,24.3902439,19.51219512,30.3030303,14.63414634,0.000164
5,Abaiang,14907,6019,1474,5318,0,27718,53.78093658,19.18608846,66.54910714,21.71513096,0.110872
6,Abaiang,1686,1992,731,3341,0,7750,21.75483871,43.10967742,38.23996371,25.70322581,0.031
7,Abaiang,0,0,0,28,0,28,0,100,0,0,0.000112
8,Abaiang,138,354,1188,826,0,2506,5.506783719,32.96089385,8.214285714,14.12609737,0.010024
9,Abaiang,69432,29280,35501,33409,9208,176830,41.42177041,19.93115462,51.73269355,17.46787415,0.70732
10,Abaiang,37620,13259,3696,9641,0,64216,58.58353058,15.0133923,68.93266148,20.64750218,0.256864
11,Abaiang,4206,3558,1135,3432,0,12331,34.10915579,27.8322926,47.2637375,28.85410753,0.049324
12,Abaiang,0,0,0,0,25,25,0,0,0,0,0.0001
13,Abaiang,0,0,544,4191,0,4735,0,88.51108765,0,0,0.01894
14,Abaiang,0,0,6,64,0,70,0,91.42857143,0,0,0.00028
15,Abaiang,0,0,403,1096,0,1499,0,73.11541027,0,0,0.005996
16,Abaiang,0,0,4,291,0,295,0,98.6440678,0,0,0.00118
17,Abaiang,0,0,15,61,0,76,0,80.26315789,0,0,0.000304
18,Abaiang,4760,6200,5193,5857,0,22010,21.62653339,26.61063153,29.46821024,28.16901408,0.08804
19,Abaiang,377,344,1611,3812,0,6144,6.136067708,62.04427083,16.16638079,5.598958333,0.024576
20,Abaiang,285,352,2697,6843,0,10177,2.800432347,67.23985457,8.548290342,3.458779601,0.040708
21,Abaiang,72491,47414,42953,39373,45785,248016,35.84564186,19.46931974,44.51178327,23.44546583,0.992064
22,Abaiang,54,150,2594,2078,0,4876,1.107465135,42.6168991,1.929949964,3.076292043,0.019504
23,Abaiang,0,0,91,488,0,579,0,84.28324698,0,0,0.002316
24,Abaiang,3,7,884,805,0,1699,0.176574456,47.38081224,0.33557047,0.412007063,0.006796
25,Abaiang,24,62,2326,2149,0,4561,0.526200395,47.11686034,0.995024876,1.35935102,0.018244
26,Abaiang,63,34,1726,5191,0,7014,0.898203593,74.00912461,3.455842019,0.484744796,0.028056
27,Abaiang,3,7,1778,2588,0,4376,0.068555759,59.14076782,0.167785235,0.159963437,0.017504
28,Abaiang,0,0,146,751,0,897,0,83.72352285,0,0,0.003588
29,Abaiang,0,0,70,516,0,586,0,88.05460751,0,0,0.002344
30,Abaiang,12205,6633,4355,10213,0,33406,36.53535293,30.57235227,52.62363644,19.85571454,0.133624
31,Abaiang,3096,2704,2005,2321,0,10126,30.57475805,22.92119297,39.6668802,26.70353545,0.040504
32,Abaiang,288,167,743,1254,0,2452,11.74551387,51.14192496,24.04006678,6.810766721,0.009808
33,Abaiang,713,1081,2101,1756,0,5651,12.61723589,31.07414617,18.3055199,19.12935764,0.022604
34,Abaiang,6407,9166,6078,6077,0,27728,23.10660704,21.91647432,29.59216664,33.05683785,0.110912
35,Abaiang,1716471,873923,523152,482699,69812,3666057,47.72953456,13.42230577,55.12913572,24.30098617,14.664228
36,Abemama,0,0,0,29,0,29,0,100,0,0,0.000116
37,Abemama,0,0,0,0,83,83,0,0,0,0,0.000332
38,Abemama,0,0,0,37,0,37,0,100,0,0,0.000148
39,Abemama,0,0,0,48,0,48,0,100,0,0,0.000192
40,Abemama,0,0,332,0,0,332,0,0,0,0,0.001328
41,Abemama,0,0,111,0,0,111,0,0,0,0,0.000444
42,Abemama,0,0,186,7,0,193,0,3.626943005,0,0,0.000772
43,Abemama,0,0,0,41,0,41,0,100,0,0,0.000164
44,Abemama,0,0,0,187,0,187,0,100,0,0,0.000748
45,Abemama,0,0,0,29,0,29,0,100,0,0,0.000116
46,Abemama,0,0,0,71,0,71,0,100,0,0,0.000284
47,Abemama,0,0,0,28,0,28,0,100,0,0,0.000112
48,Abemama,0,0,0,120,0,120,0,100,0,0,0.00048
49,Abemama,0,0,0,33,0,33,0,100,0,0,0.000132
50,Abemama,0,0,0,29,0,29,0,100,0,0,0.000116
51,Abemama,0,0,0,52,0,52,0,100,0,0,0.000208
52,Abemama,1535757,648190,1040435,831666,126080,4182128,37.86338327,20.50434314,47.62949923,15.98082666,16.728512
53,Abemama,147146,63640,351309,229191,11001,802287,18.5958048,28.96436939,26.17813715,8.042604065,3.209148
54,Abemama,20343,20569,37254,32041,0,110207,18.45890007,29.07347083,26.02538188,18.66396871,0.440828
55,Abemama,212,373,5495,7615,0,13695,1.548010223,55.60423512,3.486842105,2.72362176,0.05478
56,Abemama,526327,270280,254501,206619,70921,1328648,41.84747564,16.42796887,50.07354144,21.48956014,5.314592
57,Abemama,0,0,0,57,0,57,0,100,0,0,0.000228
58,Abemama,31,43,75,8,0,157,19.74522293,5.095541401,20.80536913,27.38853503,0.000628
59,Abemama,94,274,496,98,0,962,9.771309771,10.18711019,10.87962963,28.48232848,0.003848
60,Abemama,0,0,0,48,0,48,0,100,0,0,0.000192
61,Abemama,85688,49833,53263,48749,7938,245471,36.07414549,20.52304311,45.38943978,20.97940076,0.981884
62,Abemama,438741,246285,302325,203727,41788,1232866,36.83562286,17.10442137,44.43617315,20.67748712,4.931464
63,Ahe,0,0,0,49,0,49,0,100,0,0,0.000196
64,Ahe,0,0,0,43,0,43,0,100,0,0,0.000172
65,Ahe,0,0,0,59,0,59,0,100,0,0,0.000236
66,Ahe,310224,399512,430572,658057,2312,1800677,17.25033572,36.59195992,27.20528138,22.21529,7.202708
67,Ahe,0,0,14,68,0,82,0,82.92682927,0,0,0.000328
68,Ahe,1,0,17,220,0,238,0.420168067,92.43697479,5.555555556,0,0.000952
69,Ahe,620,769,2408,6363,0,10160,6.102362205,62.62795276,16.32868054,7.568897638,0.04064
70,Ahe,0,0,4,47,0,51,0,92.15686275,0,0,0.000204
71,Ahe,49129,66701,47166,144524,0,307520,15.97587149,46.99661811,30.14123046,21.68997138,1.23008
72,Ahe,377,161,1287,11605,0,13430,2.807148176,86.4110201,20.65753425,1.198808637,0.05372
73,Ahe,0,0,5,120,0,125,0,96,0,0,0.0005
74,Ahe,0,0,2,53,0,55,0,96.36363636,0,0,0.00022
75,Ahe,30819,41121,47148,42670,0,161758,19.05253527,26.37891171,25.87918178,25.42130837,0.647032
76,Ahe,0,2,488,4506,0,4996,0,90.19215372,0,0.040032026,0.019984
77,Ahe,0,0,6,28,0,34,0,82.35294118,0,0,0.000136
78,Ahe,0,0,11,136,0,147,0,92.5170068,0,0,0.000588
79,Ahe,0,0,0,32,0,32,0,100,0,0,0.000128
80,Ahe,3355,9537,6603,47317,0,66812,5.021553014,70.82110998,17.20954091,14.27438185,0.267248
81,Ahe,11332,2553,8434,8421,0,30740,36.86402082,27.39427456,50.77288409,8.305139883,0.12296
82,Ahe,0,0,0,69,0,69,0,100,0,0,0.000276
83,Ahe,0,0,30,7180,0,7210,0,99.58391123,0,0,0.02884
84,Ahe,0,0,3,80,0,83,0,96.38554217,0,0,0.000332
85,Ahe,0,0,21,196,0,217,0,90.32258065,0,0,0.000868
86,Ahe,0,0,1,39,0,40,0,97.5,0,0,0.00016
87,Ahe,0,0,0,103,0,103,0,100,0,0,0.000412
88,Ahe,0,0,0,30,0,30,0,100,0,0,0.00012
89,Ahe,2004,3844,4842,4700,0,15390,13.0214425,30.53931124,18.74649205,24.97725796,0.06156
90,Ahe,0,0,79,34462,0,34541,0,99.7712863,0,0,0.138164
91,Ahe,0,0,0,69,0,69,0,100,0,0,0.000276
92,Ahe,0,0,0,34,0,34,0,100,0,0,0.000136
93,Ahe,5189,3068,7440,7875,0,23572,22.01340574,33.40828101,33.05727209,13.01544205,0.094288
94,Ahe,0,0,5,69,0,74,0,93.24324324,0,0,0.000296
95,Ahe,1235,6038,4362,4988,0,16623,7.429465199,30.00661734,10.61452514,36.3231667,0.066492
96,Ahe,0,0,0,84,0,84,0,100,0,0,0.000336
97,Ahe,830,5638,4680,7424,0,18572,4.469093259,39.97415464,7.445281665,30.35752746,0.074288
98,Ahe,1269,2083,6670,44038,0,54060,2.347391787,81.46133925,12.66214328,3.853126156,0.21624
99,Ahe,0,0,17,213,0,230,0,92.60869565,0,0,0.00092
100,Ahe,7,8,375,4052,0,4442,0.157586673,91.22017109,1.794871795,0.180099054,0.017768
101,Ahe,0,0,9,333,0,342,0,97.36842105,0,0,0.001368
102,Ahe,1,0,175,3043,0,3219,0.031065548,94.5324635,0.568181818,0,0.012876
103,Ahe,396,749,3336,4495,0,8976,4.411764706,50.07798574,8.8373131,8.344474153,0.035904
104,Ahe,254,224,1186,2222,0,3886,6.536284097,57.17961915,15.26442308,5.764282038,0.015544
105,Ahe,661,537,2738,3537,0,7473,8.845175967,47.3303894,16.79369919,7.185869129,0.029892
106,Ahe,1757,5256,5106,35420,0,47539,3.695912829,74.50724668,14.49789587,11.05618545,0.190156
107,Ahe,0,0,0,280,0,280,0,100,0,0,0.00112
108,Ahe,0,0,19,104,0,123,0,84.55284553,0,0,0.000492
109,Ahe,0,0,32,90,0,122,0,73.7704918,0,0,0.000488
110,Ahe,3438,11523,13967,11542,0,40470,8.495181616,28.51989128,11.8846792,28.47294292,0.16188
111,Ahe,0,0,27,858,0,885,0,96.94915254,0,0,0.00354
112,Ahe,0,0,0,35,0,35,0,100,0,0,0.00014
113,Ahe,1310,772,4227,7193,0,13502,9.702266331,53.2735891,20.76398795,5.717671456,0.054008
114,Ahe,0,0,1,24,0,25,0,96,0,0,0.0001
115,Ahe,69,7,232,656,0,964,7.157676349,68.04979253,22.4025974,0.726141079,0.003856
116,Ahe,0,0,1,39,0,40,0,97.5,0,0,0.00016
117,Ahe,0,0,7,18,0,25,0,72,0,0,0.0001
118,Ahe,4302,6439,7299,45234,0,63274,6.79900117,71.48907924,23.84700665,10.17637576,0.253096
119,Ahe,0,0,7,34,0,41,0,82.92682927,0,0,0.000164
120,Ahe,0,0,0,37,0,37,0,100,0,0,0.000148
121,Ahe,13,42,152,71,0,278,4.676258993,25.53956835,6.280193237,15.10791367,0.001112
122,Ahe,10136,40163,33602,21044,0,104945,9.658392491,20.0524084,12.08090488,38.27052265,0.41978
123,Ahe,0,0,56,224,0,280,0,80,0,0,0.00112
124,Ahe,1577,2828,2935,27318,0,34658,4.550176006,78.82162848,21.48501362,8.159732241,0.138632
125,Ahe,22690,9516,35802,21855,0,89863,25.24954653,24.32035432,33.36372192,10.58945283,0.359452
126,Ahe,17553,3763,26604,17428,0,65348,26.86080676,26.66952317,36.62979967,5.758401175,0.261392
127,Ahe,1641,680,4684,5434,0,12439,13.19237881,43.6851837,23.4261242,5.466677386,0.049756
128,Ahe,316,263,4202,5413,0,10194,3.099862664,53.09986266,6.609495921,2.57994899,0.040776
129,Ahe,0,0,2,37,0,39,0,94.87179487,0,0,0.000156
130,Ahe,1350,632,4599,4120,0,10701,12.6156434,38.50107467,20.51359976,5.905990094,0.042804
131,Ahe,1270,3276,5968,39374,0,49888,2.545702373,78.92479153,12.07913259,6.566709429,0.199552
132,Ahe,0,0,0,204,0,204,0,100,0,0,0.000816
133,Ahe,0,0,1,4386,0,4387,0,99.97720538,0,0,0.017548
134,Ahe,0,0,149,269,0,418,0,64.35406699,0,0,0.001672
135,Ahe,12392,3443,14157,9886,0,39878,31.07477807,24.79061136,41.31768472,8.633833191,0.159512
136,Ahe,0,0,1,101,0,102,0,99.01960784,0,0,0.000408
137,Ahe,2216,1537,4247,3483,0,11483,19.29809283,30.33179483,27.7,13.38500392,0.045932
138,Ahe,0,0,0,61,0,61,0,100,0,0,0.000244
139,Ahe,0,0,59,197,0,256,0,76.953125,0,0,0.001024
140,Ahe,6124,3413,5883,2968,0,18388,33.30432891,16.1409615,39.71465629,18.56101806,0.073552
141,Ahe,1459,950,2917,1314,0,6640,21.97289157,19.78915663,27.39391664,14.30722892,0.02656
142,Ahe,574,175,2082,4281,0,7112,8.070866142,60.19403825,20.27552102,2.460629921,0.028448
143,Ahe,0,0,54,46,0,100,0,46,0,0,0.0004
144,Ahe,4120,1251,6445,5312,0,17128,24.05418029,31.01354507,34.86797563,7.303829986,0.068512
145,Ahe,0,0,31,18,0,49,0,36.73469388,0,0,0.000196
146,Ahe,1878,929,2467,2524,0,7798,24.08309823,32.36727366,35.60864619,11.91331111,0.031192
147,Ahe,5700,10907,10698,37060,0,64365,8.855744582,57.57787617,20.87529756,16.94554494,0.25746
148,Ahe,4561,3662,5330,3817,0,17370,26.25791595,21.97466897,33.65306574,21.08232585,0.06948
149,Ahe,0,0,0,28,0,28,0,100,0,0,0.000112
150,Ahe,0,0,0,106,0,106,0,100,0,0,0.000424
151,Ahe,17,31,225,275,0,548,3.102189781,50.18248175,6.227106227,5.656934307,0.002192
152,Ahe,2794,3073,3882,5507,0,15256,18.31410593,36.0972732,28.65934968,20.1428946,0.061024
153,Ahe,31,105,661,794,0,1591,1.948460088,49.90571967,3.889585947,6.599622879,0.006364
154,Ahe,540,421,1951,3841,0,6753,7.996446024,56.8784244,18.54395604,6.234266252,0.027012
155,Ahe,11803,8112,14937,21469,0,56321,20.95665915,38.11899647,33.86606221,14.40315335,0.225284
156,Ahe,0,0,13,15,0,28,0,53.57142857,0,0,0.000112
157,Ahe,0,0,5,113,0,118,0,95.76271186,0,0,0.000472
158,Ahe,30991,12129,18336,31664,0,93120,33.28071306,34.00343643,50.42794845,13.02512887,0.37248
159,Ahe,0,0,18,12,0,30,0,40,0,0,0.00012
160,Ahe,10,36,435,586,0,1067,0.937207123,54.92033739,2.079002079,3.373945642,0.004268
161,Ahe,114,85,1153,3611,0,4963,2.296997784,72.75841225,8.431952663,1.712673786,0.019852
162,Ahe,12748,5844,7142,8487,0,34221,37.25197978,24.80056106,49.53757675,17.07723328,0.136884
